body,slogan,label,tag,link
"Let $S$ be a scheme. Let $\{X_i \to X\}_{i \in I}$ be an fppf covering of algebraic spaces over $S$. \begin{enumerate} \item If $I$ is countable\footnote{The restriction on countablility can be ignored by those who do not care about set theoretical issues. We can allow larger index sets here if we can bound the size of the algebraic spaces which we are descending. See for example Lemma \ref{lemma-locally-algebraic-space-finite-type}.}, then any descent datum for algebraic spaces relative to $\{X_i \to X\}$ is effective. \item Any descent datum $(Y_i, \varphi_{ij})$ relative to $\{X_i \to X\}_{i \in I}$ (Descent on Spaces, Definition \ref{spaces-descent-definition-descent-datum-for-family-of-morphisms}) with $Y_i \to X_i$ of finite type is effective. \end{enumerate}",Fppf descent data for algebraic spaces are effective.,lemma-descend-algebraic-space,0ADV,https://stacks.math.columbia.edu/tag/0ADV
Let $A$ be a simple finite $k$-algebra. Then $A$ is a matrix algebra over a finite $k$-algebra $K$ which is a skew field.,Simple finite algebras over a field are matrix algebras over a skew field.,theorem-wedderburn,0747,https://stacks.math.columbia.edu/tag/0747
Let $A$ be a finite central skew field over $k$. Then every maximal subfield $K \subset A$ satisfies $[A : k] = [K : k]^2$.,The dimension of a finite central skew field is the square of the dimension of any maximal subfield.,lemma-maximal-subfield,074W,https://stacks.math.columbia.edu/tag/074W
"Let $M : \mathcal{I} \to \mathcal{C}$ be a diagram. Write $I = \mathop{\mathrm{Ob}}\nolimits(\mathcal{I})$ and $A = \text{Arrows}(\mathcal{I})$. Denote $s, t : A \to I$ the source and target maps. Suppose that $\coprod_{i \in I} M_i$ and $\coprod_{a \in A} M_{s(a)}$ exist. Suppose that the coequalizer of $$ \xymatrix{ \coprod_{a \in A} M_{s(a)} \ar@<1ex>[r]^\phi \ar@<-1ex>[r]_\psi & \coprod_{i \in I} M_i } $$ exists, where the morphisms are determined by their components as follows: The component $M_{s(a)}$ maps via $\psi$ to the component $M_{t(a)}$ via the morphism $M(a)$. The component $M_{s(a)}$ maps via $\phi$ to the component $M_{s(a)}$ by the identity morphism. Then this coequalizer is the colimit of the diagram.","If all coproducts and coequalizers exist, all colimits exist.",lemma-colimits-coproducts-coequalizers,002P,https://stacks.math.columbia.edu/tag/002P
"Let $\mathcal{C}$ be a category. The only $2$-morphisms between categories fibred in sets are identities. In other words, the $2$-category of categories fibred in sets is a category. Moreover, there is an equivalence of categories $$ \left\{ \begin{matrix} \text{the category of presheaves}\\ \text{of sets over }\mathcal{C} \end{matrix} \right\} \leftrightarrow \left\{ \begin{matrix} \text{the category of categories}\\ \text{fibred in sets over }\mathcal{C} \end{matrix} \right\} $$ The functor from left to right is the construction $F \to \mathcal{S}_F$ discussed in Example \ref{example-presheaf}. The functor from right to left assigns to $p : \mathcal{S} \to \mathcal{C}$ the presheaf of objects $U \mapsto \mathop{\mathrm{Ob}}\nolimits(\mathcal{S}_U)$.",Categories fibred in sets are precisely presheaves.,lemma-2-category-fibred-sets,02Y2,https://stacks.math.columbia.edu/tag/02Y2
"Let $X$ be a scheme. Let $\mathcal{F}$ be a quasi-coherent $\mathcal{O}_X$-module. For any affine open $U \subset X$ we have $H^p(U, \mathcal{F}) = 0$ for all $p > 0$.",Serre vanishing: Higher cohomology vanishes on affine schemes for quasi-coherent modules.,lemma-quasi-coherent-affine-cohomology-zero,01XB,https://stacks.math.columbia.edu/tag/01XB
"\begin{reference} \cite{Serre-criterion}, \cite[II, Theorem 5.2.1 (d') and IV (1.7.17)]{EGA} \end{reference}  Let $X$ be a scheme. Assume that \begin{enumerate} \item $X$ is quasi-compact, \item for every quasi-coherent sheaf of ideals $\mathcal{I} \subset \mathcal{O}_X$ we have $H^1(X, \mathcal{I}) = 0$. \end{enumerate} Then $X$ is affine.",Serre's criterion for affineness.,lemma-quasi-compact-h1-zero-covering,01XF,https://stacks.math.columbia.edu/tag/01XF
"\begin{reference} \cite{Serre-criterion}, \cite[II, Theorem 5.2.1]{EGA} \end{reference}  Let $X$ be a scheme. Assume that \begin{enumerate} \item $X$ is quasi-compact, \item $X$ is quasi-separated, and \item $H^1(X, \mathcal{I}) = 0$ for every quasi-coherent sheaf of ideals $\mathcal{I}$ of finite type. \end{enumerate} Then $X$ is affine.",Serre's criterion for affineness.,lemma-quasi-separated-h1-zero-covering,01XG,https://stacks.math.columbia.edu/tag/01XG
"Let $X$ be a quasi-compact scheme with affine diagonal (for example if $X$ is separated). Let $t = t(X)$ be the minimal number of affine opens needed to cover $X$. Then $H^n(X, \mathcal{F}) = 0$ for all $n \geq t$ and all quasi-coherent sheaves $\mathcal{F}$.","For schemes with affine diagonal, the cohomology of quasi-coherent modules vanishes in degrees bigger than the number of affine opens needed in a covering.",lemma-vanishing-nr-affines,01XI,https://stacks.math.columbia.edu/tag/01XI
"Let $S$ be a scheme. Let $f : X \to Y$ be a morphism of algebraic spaces over $S$. Let $y \in |Y|$. Assume \begin{enumerate} \item $f$ is proper, and \item $f$ is quasi-finite at all $x \in |X|$ lying over $y$ (Decent Spaces, Lemma \ref{decent-spaces-lemma-conditions-on-fibre-and-qf}). \end{enumerate} Then there exists an open neighbourhood $V \subset Y$ of $y$ such that $f|_{f^{-1}(V)} : f^{-1}(V) \to V$ is finite.",A proper morphism is finite in a neighbourhood of a finite fiber.,lemma-proper-finite-fibre-finite-in-neighbourhood,0A4Y,https://stacks.math.columbia.edu/tag/0A4Y
Let $X$ be a ringed space. Let $U' \subset U \subset X$ be open subspaces. For any injective $\mathcal{O}_X$-module $\mathcal{I}$ the restriction mapping $\mathcal{I}(U) \to \mathcal{I}(U')$ is surjective.,Injectives are flasque.,lemma-injective-restriction-surjective,01EA,https://stacks.math.columbia.edu/tag/01EA
"Let $X$ be a ringed space. Let $\mathcal{F}$ be an $\mathcal{O}_X$-module such that $$ \check{H}^p(\mathcal{U}, \mathcal{F}) = 0 $$ for all $p > 0$ and any open covering $\mathcal{U} : U = \bigcup_{i \in I} U_i$ of an open of $X$. Then $H^p(U, \mathcal{F}) = 0$ for all $p > 0$ and any open $U \subset X$.","If higher {\v C}ech cohomology of an abelian sheaf vanishes for all open covers, then higher cohomology vanishes.",lemma-cech-vanish,01EV,https://stacks.math.columbia.edu/tag/01EV
Let $f : X \to Y$ and $g : Y \to Z$ be morphisms of ringed spaces. In this case $Rg_* \circ Rf_* = R(g \circ f)_*$ as functors from $D^{+}(X) \to D^{+}(Z)$.,The total derived functor of a composition is the composition of the total derived functors.,lemma-higher-direct-images-compose,01F5,https://stacks.math.columbia.edu/tag/01F5
"Let $\mathcal{C}$ be a category. Let $\mathcal{O}$ be a presheaf of rings. Let $$ 0 \to \mathcal{F}'' \to \mathcal{F}' \to \mathcal{F} \to 0 $$ be a short exact sequence of presheaves of $\mathcal{O}$-modules. Let $\mathcal{G}$ be a presheaf of $\mathcal{O}$-modules. \begin{enumerate} \item If $\mathcal{F}$ is a flat presheaf of modules, then the sequence $$ 0 \to \mathcal{F}'' \otimes_{p, \mathcal{O}} \mathcal{G} \to \mathcal{F}' \otimes_{p, \mathcal{O}} \mathcal{G} \to \mathcal{F} \otimes_{p, \mathcal{O}} \mathcal{G} \to 0 $$ is exact. \item If $\mathcal{C}$ is a site, $\mathcal{O}$, $\mathcal{F}$, $\mathcal{F}'$, $\mathcal{F}''$, and $\mathcal{G}$ are sheaves, and $\mathcal{F}$ is flat as a sheaf of modules, then the sequence $$ 0 \to \mathcal{F}'' \otimes_\mathcal{O} \mathcal{G} \to \mathcal{F}' \otimes_\mathcal{O} \mathcal{G} \to \mathcal{F} \otimes_\mathcal{O} \mathcal{G} \to 0 $$ is exact. \end{enumerate}",Tor measures the deviation of flatness.,lemma-flat-tor-zero,03EX,https://stacks.math.columbia.edu/tag/03EX
Let $X$ be a topological space. Let $\mathcal{B}$ be a basis for the topology on $X$. Let $\mathcal{F}$ be a sheaf of sets on $X$. There exists a set $I$ and for each $i \in I$ an element $U_i \in \mathcal{B}$ and a finite set $S_i$ such that there exists a surjection $\coprod_{i \in I} j_{U_i!}\underline{S_i} \to \mathcal{F}$.,The cohomology of the cotangent complex of a surjective ring map is trivial in degree zero; it is the kernel modulo its square in degree $-1$.,lemma-surjection,0CAH,https://stacks.math.columbia.edu/tag/0CAH
"Let $S$ be a scheme. Let $F : \mathcal{X} \to \mathcal{Y}$ be a $1$-morphism of stacks in groupoids over $(\mathit{Sch}/S)_{fppf}$. If \begin{enumerate} \item $\mathcal{X}$ is representable by an algebraic space, and \item $F$ is representable by algebraic spaces, surjective, flat and locally of finite presentation, \end{enumerate} then $\mathcal{Y}$ is an algebraic stack.",Artin's theorem on representability of flat groupoids,theorem-bootstrap,06DC,https://stacks.math.columbia.edu/tag/06DC
"Let $k$ be a field. Let $G$ be an affine group scheme over $k$. If the stack $[\mathop{\mathrm{Spec}}(k)/G]$ has a smooth covering by a scheme, then $G$ is of finite type over $k$.",Gerbes are algebraic if and only if the associated groups are flat and locally of finite presentation,lemma-BG-algebraic,04AH,https://stacks.math.columbia.edu/tag/04AH
"Let $k$ be a field. Let $f : X \to Y$ be a morphism of smooth curves over $k$. The following are equivalent \begin{enumerate} \item $\text{d}f : f^*\Omega_{Y/k} \to \Omega_{X/k}$ is nonzero, \item $\Omega_{X/Y}$ is supported on a proper closed subset of $X$, \item there exists a nonempty open $U \subset X$ such that $f|_U : U \to Y$ is unramified, \item there exists a nonempty open $U \subset X$ such that $f|_U : U \to Y$ is \'etale, \item the extension $k(X)/k(Y)$ of function fields is finite separable. \end{enumerate}",A morphism of smooth curves is separable iff it is etale almost everywhere,lemma-generically-etale,0C1C,https://stacks.math.columbia.edu/tag/0C1C
Let $S$ be a scheme. Let $f : X \to Y$ be a morphism of algebraic spaces over $S$. Let $y \in |Y|$ and assume that $y$ is represented by a quasi-compact monomorphism $\mathop{\mathrm{Spec}}(k) \to Y$. Then $|X_k| \to |X|$ is a homeomorphism onto $f^{-1}(\{y\}) \subset |X|$ with induced topology.,Fibers of field points of algebraic spaces have the expected Zariski topologies.,lemma-topology-fibre,0AC8,https://stacks.math.columbia.edu/tag/0AC8
Let $\mathcal{D}$ be a triangulated category. Let $\mathcal{B}$ be a full triangulated subcategory of $\mathcal{D}$. Let $Q : \mathcal{D} \to \mathcal{D}/\mathcal{B}$ be the quotient functor. \begin{enumerate} \item If $H : \mathcal{D} \to \mathcal{A}$ is a homological functor into an abelian category $\mathcal{A}$ such that $\mathcal{B} \subset \mathop{\mathrm{Ker}}(H)$ then there exists a unique factorization $H' : \mathcal{D}/\mathcal{B} \to \mathcal{A}$ such that $H = H' \circ Q$ and $H'$ is a homological functor too. \item If $F : \mathcal{D} \to \mathcal{D}'$ is an exact functor into a pre-triangulated category $\mathcal{D}'$ such that $\mathcal{B} \subset \mathop{\mathrm{Ker}}(F)$ then there exists a unique factorization $F' : \mathcal{D}/\mathcal{B} \to \mathcal{D}'$ such that $F = F' \circ Q$ and $F'$ is an exact functor too. \end{enumerate},The universal property of the Verdier quotient.,lemma-universal-property-quotient,05RJ,https://stacks.math.columbia.edu/tag/05RJ
Assumptions and notation as in Situation \ref{situation-derived-functor}. Let $X$ be an object of $\mathcal{D}$ and $n \in \mathbf{Z}$. \begin{enumerate} \item $RF$ is defined at $X$ if and only if it is defined at $X[n]$. In this case there is a canonical isomorphism $RF(X)[n]= RF(X[n])$ between values. \item $LF$ is defined at $X$ if and only if it is defined at $X[n]$. In this case there is a canonical isomorphism $LF(X)[n] \to LF(X[n])$ between values. \end{enumerate},Derived functors are compatible with shifts,lemma-derived-shift,05SU,https://stacks.math.columbia.edu/tag/05SU
"Let $F : \mathcal{A} \to \mathcal{B}$ be an additive functor of abelian categories. \begin{enumerate} \item If every object of $\mathcal{A}$ injects into an object acyclic for $RF$, then $RF$ is defined on all of $K^{+}(\mathcal{A})$ and we obtain an exact functor $$ RF : D^{+}(\mathcal{A}) \longrightarrow D^{+}(\mathcal{B}) $$ see (\ref{equation-everywhere}). Moreover, any bounded below complex $A^\bullet$ whose terms are acyclic for $RF$ computes $RF$. \item If every object of $\mathcal{A}$ is quotient of an object acyclic for $LF$, then $LF$ is defined on all of $K^{-}(\mathcal{A})$ and we obtain an exact functor $$ LF : D^{-}(\mathcal{A}) \longrightarrow D^{-}(\mathcal{B}) $$ see (\ref{equation-everywhere}). Moreover, any bounded above complex $A^\bullet$ whose terms are acyclic for $LF$ computes $LF$. \end{enumerate}",A functor on Abelian categories is extended to the (bounded below or above) derived category by resolving with a complex that is acyclic for that functor.,proposition-enough-acyclics,05TA,https://stacks.math.columbia.edu/tag/05TA
"Let $\mathcal{A}$ be an abelian category. Let $$ \ldots \to I_3^\bullet \to I_2^\bullet \to I_1^\bullet $$ be an inverse system of complexes. Assume \begin{enumerate} \item each $I_n^\bullet$ is $K$-injective, \item each map $I_{n + 1}^m \to I_n^m$ is a split surjection, \item the limits $I^m = \mathop{\mathrm{lim}}\nolimits I_n^m$ exist. \end{enumerate} Then the complex $I^\bullet$ is K-injective.",The limit of a ``split'' tower of K-injective complexes is K-injective.,lemma-limit-K-injectives,070L,https://stacks.math.columbia.edu/tag/070L
"Let $R \to A$ be a faithfully flat ring map. Then \begin{enumerate} \item any descent datum on modules with respect to $R \to A$ is effective, \item the functor $M \mapsto (A \otimes_R M, can)$ from $R$-modules to the category of descent data is an equivalence, and \item the inverse functor is given by $(N, \varphi) \mapsto H^0(s(N_\bullet))$. \end{enumerate}",Effective descent for modules along faithfully flat ring maps.,proposition-descent-module,023N,https://stacks.math.columbia.edu/tag/023N
"Let $S$ be a scheme. Let $\mathcal{F}$ be a quasi-coherent sheaf on $S$. Let $\tau \in \{Zariski, \linebreak[0] {\acute{e}tale}, \linebreak[0] smooth, \linebreak[0] syntomic, \linebreak[0] fppf\}$. \begin{enumerate} \item There is a canonical isomorphism $$ H^q(S, \mathcal{F}) = H^q((\mathit{Sch}/S)_\tau, \mathcal{F}^a). $$ \item There are canonical isomorphisms $$ H^q(S, \mathcal{F}) = H^q(S_{Zar}, \mathcal{F}^a) = H^q(S_{\acute{e}tale}, \mathcal{F}^a). $$ \end{enumerate}",Cohomology of quasi-coherent sheaves is the same no matter which topology you use.,proposition-same-cohomology-quasi-coherent,03DW,https://stacks.math.columbia.edu/tag/03DW
The property $\mathcal{P}(S) =$``$S$ is normal'' is local in the smooth topology.,Normality is local in the smooth topology.,lemma-normal-local-smooth,034F,https://stacks.math.columbia.edu/tag/034F
"In Situation \ref{situation-ABC} suppose that $$ \xymatrix{ x_1 \ar[r]_{f_1} \ar[d]_a & y_1 \ar[d]^b \\ x_2 \ar[r]^{f_2} & y_2 } $$ is a diagram of $\text{Comp}(\mathcal{A})$ commutative up to homotopy. Then there exists a morphism $c : c(f_1) \to c(f_2)$ which gives rise to a morphism of triangles $$ (a, b, c) : (x_1, y_1, c(f_1)) \to (x_1, y_1, c(f_1)) $$ in $K(\mathcal{A})$.",The homotopy category is a triangulated category. This lemma proves a part of the axioms of a triangulated category.,lemma-cone,09P7,https://stacks.math.columbia.edu/tag/09P7
"Let $X$ be a scheme. \begin{enumerate} \item If $D \subset X$ is an effective Cartier divisor, then the canonical section $1_D$ of $\mathcal{O}_X(D)$ is regular. \item Conversely, if $s$ is a regular section of the invertible sheaf $\mathcal{L}$, then there exists a unique effective Cartier divisor $D = Z(s) \subset X$ and a unique isomorphism $\mathcal{O}_X(D) \to \mathcal{L}$ which maps $1_D$ to $s$. \end{enumerate} The constructions $D \mapsto (\mathcal{O}_X(D), 1_D)$ and $(\mathcal{L}, s) \mapsto Z(s)$ give mutually inverse maps $$ \left\{ \begin{matrix} \text{effective Cartier divisors on }X \end{matrix} \right\} \leftrightarrow \left\{ \begin{matrix} \text{isomorphism classes of pairs }(\mathcal{L}, s)\\ \text{consisting of an invertible } \mathcal{O}_X\text{-module}\\ \mathcal{L}\text{ and a regular global section }s \end{matrix} \right\} $$",Effective Cartier divisors on a scheme are the same as invertible sheaves with fixed regular global section.,lemma-characterize-OD,01X0,https://stacks.math.columbia.edu/tag/01X0
"Let $X$ be a Noetherian scheme which has an ample invertible sheaf. Then every invertible $\mathcal{O}_X$-module is isomorphic to $$ \mathcal{O}_X(D - D') = \mathcal{O}_X(D) \otimes_{\mathcal{O}_X} \mathcal{O}_X(D')^{\otimes -1} $$ for some effective Cartier divisors $D, D'$ in $X$. Moreover, given a finite subset $E \subset X$ we may choose $D, D'$ such that $E \cap D = \emptyset$ and $E \cap D' = \emptyset$. If $X$ is quasi-affine, then we may choose $D' = \emptyset$.","On a projective scheme, every line bundle has a regular meromorphic section.",lemma-quasi-projective-Noetherian-pic-effective-Cartier,0AYM,https://stacks.math.columbia.edu/tag/0AYM
Let $X_1 \to X_2$ be a flat morphism of schemes. Let $Z_2 \subset X_2$ be a closed subscheme. Let $Z_1$ be the inverse image of $Z_2$ in $X_1$. Let $X'_i$ be the blowup of $Z_i$ in $X_i$. Then there exists a cartesian diagram $$ \xymatrix{ X_1' \ar[r] \ar[d] & X_2' \ar[d] \\ X_1 \ar[r] & X_2 } $$ of schemes.,Blowing up commutes with flat base change.,lemma-flat-base-change-blowing-up,0805,https://stacks.math.columbia.edu/tag/0805
"Let $X$ be a quasi-compact and quasi-separated scheme. Let $Z \subset X$ be a closed subscheme of finite presentation. Let $b : X' \to X$ be the blowing up with center $Z$. Let $Z' \subset X'$ be a closed subscheme of finite presentation. Let $X'' \to X'$ be the blowing up with center $Z'$. There exists a closed subscheme $Y \subset X$ of finite presentation, such that \begin{enumerate} \item $Y = Z \cup b(Z')$ set theoretically, and \item the composition $X'' \to X$ is isomorphic to the blowing up of $X$ in $Y$. \end{enumerate}",Composition of blowing ups is a blowing up,lemma-composition-finite-type-blowups,080B,https://stacks.math.columbia.edu/tag/080B
Let $X$ be a quasi-compact and quasi-separated scheme. Let $U \subset X$ be a quasi-compact open subscheme. Let $b : X' \to X$ be a $U$-admissible blowup. Let $X'' \to X'$ be a $U$-admissible blowup. Then the composition $X'' \to X$ is a $U$-admissible blowup.,Admissible blowups are stable under composition.,lemma-composition-admissible-blowups,080L,https://stacks.math.columbia.edu/tag/080L
"Let $X$ be a quasi-compact and quasi-separated scheme. Let $U, V$ be quasi-compact disjoint open subschemes of $X$. Then there exist a $U \cup V$-admissible blowup $b : X' \to X$ such that $X'$ is a disjoint union of open subschemes $X' = X'_1 \amalg X'_2$ with $b^{-1}(U) \subset X'_1$ and $b^{-1}(V) \subset X'_2$.",Separate irreducible components by blowing up.,lemma-separate-disjoint-opens-by-blowing-up,080P,https://stacks.math.columbia.edu/tag/080P
"Let $f : X \to Y$ be a flat morphism of locally Noetherian schemes. If $X$ is Gorenstein, then $f$ is Gorenstein and $\mathcal{O}_{Y, f(x)}$ is Gorenstein for all $x \in X$.",Gorensteinnes of the total space of a flat fibration implies same for base and fibres,lemma-flat-morphism-from-gorenstein-scheme,0C12,https://stacks.math.columbia.edu/tag/0C12
"Let $A$ be a ring and let $I$ be a finitely generated ideal. Let $R\Gamma_Z$ be as in Lemma \ref{lemma-local-cohomology-adjoint}. Let ${\ }^\wedge$ denote derived completion as in More on Algebra, Lemma \ref{more-algebra-lemma-derived-completion}. For an object $K$ in $D(A)$ we have $$ R\Gamma_Z(K^\wedge) = R\Gamma_Z(K) \quad\text{and}\quad (R\Gamma_Z(K))^\wedge = K^\wedge $$ in $D(A)$.",Results of this nature are sometimes referred to as Greenlees-May duality.,lemma-complete-and-local,0A6W,https://stacks.math.columbia.edu/tag/0A6W
"[Yoneda]   Let $\mathcal{C}$ be a category, and $X, Y \in \mathop{\mathrm{Ob}}\nolimits(\mathcal{C})$. There is a natural bijection $$ \begin{matrix} \mathop{\mathrm{Mor}}\nolimits_\mathcal{C}(X, Y) & \longrightarrow & \mathop{\mathrm{Mor}}\nolimits_{\textit{PSh}(\mathcal{C})} (h_X, h_Y) \\ \psi & \longmapsto & h_\psi = \psi \circ - : h_X \to h_Y. \end{matrix} $$",Morphisms between objects are in bijection with natural transformations between the functors they represent.,lemma-yoneda,03NE,https://stacks.math.columbia.edu/tag/03NE
"Let $S$ be a scheme. Let $X$ be an algebraic space over $S$. Let $\overline{x}$ be a geometric point of $X$. Let $(U, \overline{u})$ be an \'etale neighbourhood of $\overline{x}$ where $U$ is a scheme. Then we have $$ \mathcal{O}_{X, \overline{x}} = \mathcal{O}_{U, \overline{u}} = \mathcal{O}_{U, u}^{sh} $$ where the left hand side is the stalk of the structure sheaf of $X$, and the right hand side is the strict henselization of the local ring of $U$ at the point $u$ at which $\overline{u}$ is centered.",The stalk of the structure sheaf of a scheme in the etale topology is the strict henselization.,lemma-describe-etale-local-ring,04KF,https://stacks.math.columbia.edu/tag/04KF
"Let $K$ be a field and let $K^{sep}$ be a separable algebraic closure. Then the set of isomorphism classes of central simple algebras of degree $d$ over $K$ is in bijection with the non-abelian cohomology $H^1(\text{Gal}(K^{sep}/K), \text{PGL}_d(K^{sep}))$.",Central simple algebras are classified by Galois cohomology of PGL.,lemma-central-simple-algebra-pgln,03R6,https://stacks.math.columbia.edu/tag/03R6
Let $f : X \to Y$ be a finite morphism of schemes. Then cohomology commutes with base change for $f$.,Proper base change for \'etale cohomology holds for finite morphisms.,lemma-finite,0A4E,https://stacks.math.columbia.edu/tag/0A4E
Let $A \to B$ be of finite type with $A$ a Noetherian ring. Let $\mathfrak q$ be a prime of $B$ lying over $\mathfrak p \subset A$. Then $A \to B$ is unramified at $\mathfrak q$ if and only if $A_{\mathfrak p} \to B_{\mathfrak q}$ is an unramified homomorphism of local rings.,Unramifiedness is a stalk local condition.,lemma-characterize-unramified-Noetherian,039G,https://stacks.math.columbia.edu/tag/039G
"Let $A$, $B$ be Noetherian local rings. Let $f : A \to B$ be an \'etale homomorphism of local rings. Then $A$ is Cohen-Macaulay if and only if $B$ is so.",Being Cohen-Macaulay ascends and descends along \'etale maps.,proposition-etale-CM,025Q,https://stacks.math.columbia.edu/tag/025Q
"Let $X$ be a locally Noetherian scheme. Let $D \subset X$ be a strict normal crossings divisor. If $f : Y \to X$ is a smooth morphism of schemes, then the pullback $f^*D$ is a strict normal crossings divisor on $Y$.",Pullback of a strict normal crossings divisor by a smooth morphism is a strict normal crossings divisor.,lemma-smooth-pullback-strict-normal-crossings,0CBP,https://stacks.math.columbia.edu/tag/0CBP
"Let $X$ be a locally Noetherian scheme. Let $D \subset X$ be a normal crossings divisor. If $f : Y \to X$ is a smooth morphism of schemes, then the pullback $f^*D$ is a normal crossings divisor on $Y$.",Pullback of a normal crossings divisor by a smooth morphism is a normal crossings divisor.,lemma-smooth-pullback-normal-crossings,0CBQ,https://stacks.math.columbia.edu/tag/0CBQ
"Let $S$ be a scheme. Let $B$ be an algebraic space over $S$. Let $G$ be a group algebraic space over $B$. Then the stacks in groupoids $$ [B/G],\quad [[B/G]],\quad G\textit{-Torsors},\quad \mathcal{G}/\mathcal{B}\textit{-Torsors} $$ are all canonically equivalent. If $G \to B$ is flat and locally of finite presentation, then these are also equivalent to $G\textit{-Principal}$.",The classifying stack of a group scheme or group algebraic space.,lemma-classifying-stacks,0CQJ,https://stacks.math.columbia.edu/tag/0CQJ
Completion is not an exact functor in general; it is not even right exact in general. This holds even when $I$ is finitely generated on the category of finitely presented modules.,Completion is neither left nor right exact in general.,lemma-completion-not-exact,05JG,https://stacks.math.columbia.edu/tag/05JG
There exists a local ring $R$ with a unique prime ideal and a nonzero ideal $I \subset R$ which is a flat $R$-module,Zero dimensional ring with flat ideal.,lemma-zero-dimensional-flat-ideal,05G0,https://stacks.math.columbia.edu/tag/05G0
"Let $k$ be a field, and let $\alpha_1, \alpha_2, \ldots, \alpha_n$ be elements of some extension field such that each $\alpha_i$ is algebraic over $k$. Then the extension $k(\alpha_1, \ldots, \alpha_n)/k$ is finite. That is, a finitely generated algebraic extension is finite.",A finitely generated algebraic extension is finite.,lemma-algebraic-finitely-generated,09GH,https://stacks.math.columbia.edu/tag/09GH
Let $E/F$ be an algebraic field extension. There exists a unique subextension $E/E_{sep}/F$ such that $E_{sep}/F$ is separable and $E/E_{sep}$ is purely inseparable.,Any algebraic field extension is uniquely a separable field extension followed by a purely inseparable one.,lemma-separable-first,030K,https://stacks.math.columbia.edu/tag/030K
Let $E/F$ be a finite extension of fields. There exists a unique smallest finite extension $K/E$ such that $K$ is normal over $F$.,Existence of normal closure of finite extensions of fields.,lemma-normal-closure,09DT,https://stacks.math.columbia.edu/tag/09DT
"Let $S$ be a scheme. Let $f : X \to Y$ be a morphism of algebraic spaces over $S$. Let $\mathcal{F}$ be a quasi-coherent $\mathcal{O}_X$-module. Let $V \subset Y$ be an open subspace. Assume \begin{enumerate} \item $f$ is locally of finite presentation, \item $\mathcal{F}$ is of finite type and flat over $Y$, \item $V \to Y$ is quasi-compact and scheme theoretically dense, \item $\mathcal{F}|_{f^{-1}V}$ is of finite presentation. \end{enumerate} Then $\mathcal{F}$ is of finite presentation.",$S$-flat and finite type extensions of finitely presented modules on a (good) open are also $X$-finitely presented.,lemma-flat-finite-type-finitely-presented-over-dense-open,0876,https://stacks.math.columbia.edu/tag/0876
"Let $S$ be a scheme. Let $f : X \to Y$ be a morphism of algebraic spaces over $S$. Let $\mathcal{F}$ be a quasi-coherent $\mathcal{O}_X$-module. Assume \begin{enumerate} \item $X \to Y$ is locally of finite presentation, \item $\mathcal{F}$ is an $\mathcal{O}_X$-module of finite type, and \item the set of weakly associated points of $Y$ is locally finite in $Y$. \end{enumerate} Then $U = \{x \in |X| : \mathcal{F}\text{ flat at }x\text{ over }Y\}$ is open in $X$ and $\mathcal{F}|_U$ is an $\mathcal{O}_U$-module of finite presentation and flat over $Y$.",The flat locus is open (non-Noetherian version).,theorem-finite-type-flat,0DLR,https://stacks.math.columbia.edu/tag/0DLR
Let $\mathfrak X$ be a formal scheme. The functor of points $h_\mathfrak X$ (see Lemma \ref{lemma-fully-faithful}) satisfies the sheaf condition for fpqc coverings.,Formal schemes are fpqc sheaves,lemma-formal-scheme-sheaf-fppf,0AI2,https://stacks.math.columbia.edu/tag/0AI2
Let $S$ be a scheme. Let $X$ be a formal algebraic space over $S$. Then $X$ satisfies the sheaf property for the fpqc topology.,Formal algebraic spaces are fpqc sheaves,lemma-sheaf-fpqc,0AQD,https://stacks.math.columbia.edu/tag/0AQD
Let $k$ be a field. Let $A$ be a nonzero abelian variety over $k$. Then $[d] : A \to A$ is \'etale if and only if $d$ is invertible in $k$.,Multiplication by an integer on an abelian variety is an etale morphism if and only if the integer is invertible in the base field.,lemma-abelian-variety-multiplication-by-d-etale,0BFH,https://stacks.math.columbia.edu/tag/0BFH
"Let $(A, \text{d})$ be a differential graded algebra. Let $f, g : L \to M$ be homomorphisms of differential graded $A$-modules. Suppose given further homomorphisms $a : K \to L$, and $c : M \to N$. If $h : L \to M$ is an $A$-module map which defines a homotopy between $f$ and $g$, then $c \circ h \circ a$ defines a homotopy between $c \circ f \circ a$ and $c \circ g \circ a$.",Hom functors of $\text{Ch}(\mathcal{A})$ respect the homotopy relation.,lemma-compose-homotopy,09JP,https://stacks.math.columbia.edu/tag/09JP
