category,pair_id,query,intent,score,best_rank,judgement,top_1,top_2,top_3
type_word,ito,Ito's lemma,Itô's lemma in stochastic calculus,2,1,Top-1 provides a clear and accurate explanation of Itô's lemma in stochastic calculus.,Itô's Lemma describes the differential of a function applied to a stochastic process. The process is defined by a drift term and a diffusion term involving Brownian motion. The change in the function depends on its partial derivatives with respect to time and the process variable,"Itô's formula describes the differential of a function applied to a stochastic process. If a process has a stochastic differential and the function is sufficiently smooth, then the new process also has a stochastic differential. The differential includes a drift term involving pa","Given a stochastic process defined by an initial value plus drift and diffusion integrals, a twice differentiable function applied to the process equals its initial value plus several integrals. These integrals include a drift term involving the gradient, a stochastic integral wi"
type_word,ito,Ito's formula,Itô's formula,2,1,"Top-1 is a clear, on-target match for Itô's formula.","Itô's formula describes the differential of a function applied to a stochastic process. If a process has a stochastic differential and the function is sufficiently smooth, then the new process also has a stochastic differential. The differential includes a drift term involving pa",Itô's Lemma describes the differential of a function applied to a stochastic process. The process is defined by a drift term and a diffusion term involving Brownian motion. The change in the function depends on its partial derivatives with respect to time and the process variable,"Itô's formula expresses a function of a continuous semimartingale as the sum of its initial value, a time integral, a stochastic integral, and a quadratic variation term. The function must be continuously differentiable in time and twice continuously differentiable in space. The "
type_word,ito,Ito formula,Itô's formula,2,1,"Top-1 is a clear, on-target match for Itô's formula.","Itô's formula describes the differential of a function applied to a stochastic process. If a process has a stochastic differential and the function is sufficiently smooth, then the new process also has a stochastic differential. The differential includes a drift term involving pa",Itô's Lemma describes the differential of a function applied to a stochastic process. The process is defined by a drift term and a diffusion term involving Brownian motion. The change in the function depends on its partial derivatives with respect to time and the process variable,"Itô's formula expresses a function of a continuous semimartingale as the sum of its initial value, a time integral, a stochastic integral, and a quadratic variation term. The function must be continuously differentiable in time and twice continuously differentiable in space. The "
type_word,ito,Itô's lemma,Itô's lemma,2,1,"Top-1 is a clear, on-target match for Itô's lemma.",Itô's Lemma describes the differential of a function applied to a stochastic process. The process is defined by a drift term and a diffusion term involving Brownian motion. The change in the function depends on its partial derivatives with respect to time and the process variable,"Itô's formula describes the differential of a function applied to a stochastic process. If a process has a stochastic differential and the function is sufficiently smooth, then the new process also has a stochastic differential. The differential includes a drift term involving pa","Given a stochastic process defined by an initial value plus drift and diffusion integrals, a twice differentiable function applied to the process equals its initial value plus several integrals. These integrals include a drift term involving the gradient, a stochastic integral wi"
type_word,yoneda,Yoneda lemma,Yoneda lemma in category theory,2,1,"Top-1 is a clear, on-target match for the Yoneda lemma in category theory.",The Yoneda lemma applies to any locally small category. It states that the set of natural transformations from the contravariant hom-functor of an object A to a set-valued functor X is isomorphic to the set X of A. This isomorphism holds naturally in both the object A and the fun,"Yoneda's Lemma states that for any covariant functor from a category to the category of sets, there is a natural bijection between the set of natural transformations from a representable functor to that functor and the set obtained by evaluating the functor at the representing ob",Yoneda's Lemma establishes a bijection between morphisms from M to N and natural transformations between their representable functors. This correspondence is functorial in the parameter T. The lemma connects abstract morphisms to concrete families of set maps. It is a foundationa
type_word,yoneda,Yoneda's lemma,Yoneda lemma,2,1,"Top-1 is a clear, on-target match for Yoneda's lemma.",The Yoneda lemma applies to any locally small category. It states that the set of natural transformations from the contravariant hom-functor of an object A to a set-valued functor X is isomorphic to the set X of A. This isomorphism holds naturally in both the object A and the fun,"Yoneda's Lemma states that for any covariant functor from a category to the category of sets, there is a natural bijection between the set of natural transformations from a representable functor to that functor and the set obtained by evaluating the functor at the representing ob",Yoneda's Lemma establishes a bijection between morphisms from M to N and natural transformations between their representable functors. This correspondence is functorial in the parameter T. The lemma connects abstract morphisms to concrete families of set maps. It is a foundationa
type_word,yoneda,Yoneda theorem,Yoneda lemma,2,1,"Top-1 directly addresses the Yoneda lemma, clearly matching the search intent.",The Yoneda lemma applies to any locally small category. It states that the set of natural transformations from the contravariant hom-functor of an object A to a set-valued functor X is isomorphic to the set X of A. This isomorphism holds naturally in both the object A and the fun,"The Yoneda embedding maps a locally small category into the category of contravariant set-valued functors on its opposite category. This embedding is full, meaning it is surjective on morphisms between hom-sets. It is also faithful, meaning it is injective on morphisms. As a resu","Yoneda's Lemma states that for any covariant functor from a category to the category of sets, there is a natural bijection between the set of natural transformations from a representable functor to that functor and the set obtained by evaluating the functor at the representing ob"
subtle,jensen,Jensen's inequality,Jensen's inequality for convex functions,2,1,"Top-1 directly explains Jensen's inequality for convex functions, matching the search intent perfectly.","Jensen's inequality states that for a convex function and an integrable random variable, the function of the expected value is less than or equal to the expected value of the function. This holds in any probability space. The result applies to real-valued random variables. It is ","Jensen's inequality applies to a convex function over a probability space. The function's value at the average of a random variable is less than or equal to the average of the function's values. If the function is concave, the inequality reverses direction. This holds for measura","For a convex function, the function value at a weighted average of points is less than or equal to the weighted average of the function values at those points. For a concave function, the inequality is reversed. The weights are non-negative and sum to one. This result is known as"
subtle,jensen,Jensen inequality,Jensen's inequality,2,1,"Top-1 is a clear, on-target match for Jensen's inequality.","Jensen's inequality applies to a convex function over a probability space. The function's value at the average of a random variable is less than or equal to the average of the function's values. If the function is concave, the inequality reverses direction. This holds for measura","For a convex function, the function value at a weighted average of points is less than or equal to the weighted average of the function values at those points. For a concave function, the inequality is reversed. The weights are non-negative and sum to one. This result is known as","Jensen's inequality states that for a convex function and an integrable random variable, the function of the expected value is less than or equal to the expected value of the function. This holds in any probability space. The result applies to real-valued random variables. It is "
subtle,jensen,f(E[X]) <= E[f(X)] for convex f,Jensen's inequality,2,1,"Top-1 directly states Jensen's inequality for convex functions, clearly matching the search intent.","Under the given assumptions, for any convex function f, the conditional expectation of f applied to a random variable X is at least f applied to the conditional expectation of X.","For a convex function, the expected value of the function of a random variable is at least the function of the expected value of that variable.","For a convex function and a random variable with finite expectation, the expectation of the function applied to the variable is at least the function applied to the expectation. This holds under the given conditions on the function and the variable. The result is an inequality co"
subtle,amgm,AM-GM inequality,arithmetic mean geometric mean inequality,2,1,"Top-1 is a clear, on-target match explaining the AM-GM inequality.",The arithmetic mean of m nonnegative numbers is at least as large as their geometric mean. This inequality holds for all nonnegative real values of the variables. The result is a fundamental inequality in mathematics known as the AM-GM inequality. It is valid for any finite set o,The arithmetic mean of non-negative real numbers is at least as large as their geometric mean.,The arithmetic mean of a sequence of nonnegative real numbers is always greater than or equal to the geometric mean. Equality holds only when all numbers in the sequence are equal. This result is known as the AM-GM inequality.
subtle,amgm,arithmetic mean geometric mean inequality,AM-GM,2,1,"Top-1 directly defines the AM-GM inequality, perfectly matching the search intent.",The arithmetic mean of non-negative real numbers is at least as large as their geometric mean.,The arithmetic mean of nonnegative real numbers is always at least as large as their geometric mean. Equality holds only when all numbers are equal. This inequality can also be stated as the product of the numbers being at most the nth power of their arithmetic mean. Both forms e,The arithmetic mean is always greater than or equal to the geometric mean. This result is derived from a more general lemma by setting all weights equal. The case for two numbers is a common example in basic mathematics.
subtle,amgm,AM GM inequality,AM-GM,2,1,"Top-1 is a clear, on-target match for the AM-GM inequality.",The arithmetic mean of m nonnegative numbers is at least as large as their geometric mean. This inequality holds for all nonnegative real values of the variables. The result is a fundamental inequality in mathematics known as the AM-GM inequality. It is valid for any finite set o,The arithmetic mean of a sequence of nonnegative real numbers is always greater than or equal to the geometric mean. Equality holds only when all numbers in the sequence are equal. This result is known as the AM-GM inequality.,The arithmetic mean of non-negative real numbers is at least as large as their geometric mean.
subtle,amgm,amgm inequality,AM-GM,2,1,"Top-1 is a clear, on-target match for the AM-GM inequality.",The arithmetic mean of m nonnegative numbers is at least as large as their geometric mean. This inequality holds for all nonnegative real values of the variables. The result is a fundamental inequality in mathematics known as the AM-GM inequality. It is valid for any finite set o,The arithmetic mean of a sequence of nonnegative real numbers is always greater than or equal to the geometric mean. Equality holds only when all numbers in the sequence are equal. This result is known as the AM-GM inequality.,The arithmetic mean of non-negative real numbers is at least as large as their geometric mean.
physics_math,schrod,Schrödinger equation,Schrödinger equation in QM,1,2,"Top-3 contains relevant information about the Schrödinger equation, but the best match is not ranked first.",A solution exists for the N-particle Schrödinger equation with a given Hamiltonian and potential. This solution is given by a unitary propagator acting on initial states. The resulting wave function is continuously differentiable in the L^2 space. It also remains in the domain of,"The time evolution of a wave function in a quantum system is described by the Schrodinger equation. This equation involves the Hamiltonian operator and Planck's constant. If the Hamiltonian is time independent, the equation has a formal solution. This solution expresses the wave ",The function defined by applying the evolution operator to a vector yields a solution to the Schrödinger equation. This solution satisfies the differential equation involving the Hamiltonian operator. The initial condition is given by the original vector. The result holds under t
physics_math,schrod,Schrodinger equation,Schrödinger equation,2,1,"Top-1 is a clear, on-target match for the Schrödinger equation.","The time evolution of a wave function in a quantum system is described by the Schrodinger equation. This equation involves the Hamiltonian operator and Planck's constant. If the Hamiltonian is time independent, the equation has a formal solution. This solution expresses the wave ",The time derivative of the wave function equals the Hamiltonian operator acting on the wave function. This equation describes the evolution of a quantum system over time. It is a fundamental law in quantum mechanics.,A solution exists for the N-particle Schrödinger equation with a given Hamiltonian and potential. This solution is given by a unitary propagator acting on initial states. The resulting wave function is continuously differentiable in the L^2 space. It also remains in the domain of
physics_math,schrod,Schroedinger equation,Schrödinger equation,1,2,"A clear match appears in top-3 but not at rank 1, discussing the Schrödinger equation directly.",The system has a unique solution that is continuously differentiable in time and belongs to a specific function space. The solution remains in the domain of the time-dependent operator at each moment. The evolution is governed by a Schroedinger equation with a time-varying Hamilt,"The time evolution of a wave function in a quantum system is described by the Schrodinger equation. This equation involves the Hamiltonian operator and Planck's constant. If the Hamiltonian is time independent, the equation has a formal solution. This solution expresses the wave ",The function defined by applying the evolution operator to a vector yields a solution to the Schrödinger equation. This solution satisfies the differential equation involving the Hamiltonian operator. The initial condition is given by the original vector. The result holds under t
ambiguous_name,lefschetz,Lefschetz fixed point theorem,Lefschetz fixed point theorem,2,1,"Top-1 is a clear, on-target match for the Lefschetz fixed point theorem.",The Lefschetz number of a map equals the sum of the indices at its fixed points.,The Lefschetz trace formula holds.,The Lefschetz Fixed Point Theorem states that the Lefschetz number of a map from a manifold to itself equals the Euler characteristic of the fixed point set. The Lefschetz number is computed as an alternating sum of traces of the induced map on real cohomology groups. This result
ambiguous_name,lefschetz,Lefschetz hyperplane theorem,Lefschetz hyperplane theorem,2,1,"Top-1 is a clear, on-target match for the Lefschetz hyperplane theorem.","Lefschetz's theorem on hyperplane sections states that for the inclusion of a hyperplane section into a complex projective variety, the induced map on integral cohomology groups is an isomorphism in degrees less than the dimension minus one. It is injective in degree equal to the","The Lefschetz hyperplane section theorem applies to projective subvarieties. For a given linear subspace intersecting the variety under certain conditions, the induced map on homotopy groups is an isomorphism in low dimensions and surjective in a critical dimension. A similar con","The Lefschetz hyperplane theorem for intersection cohomology applies to an irreducible projective variety. For a general hyperplane section, the restriction map on intersection cohomology groups is an isomorphism in degrees up to the dimension minus two. It is injective in degree"
ambiguous_name,lefschetz,Lefschetz theorem,"(ambiguous: hyperplane vs fixed point vs (1,1))",1,2,"A clear match appears in top-3 but not at rank 1, specifically regarding hyperplane sections.",The Lefschetz trace formula holds.,"Lefschetz's theorem on hyperplane sections states that for the inclusion of a hyperplane section into a complex projective variety, the induced map on integral cohomology groups is an isomorphism in degrees less than the dimension minus one. It is injective in degree equal to the",F satisfies the standard conjecture of Lefschetz type. This holds for X and F as specified in the referenced theorem.
named_pair,myers,Myers theorem,Myers theorem on Ricci curvature and diameter,1,2,Top-3 includes relevant information about Myers theorem and its implications on curvature and diameter.,"Myers' theorem states that if a geodesic has length l, and at every point along it the Ricci curvature in every unit direction is at least (n-1) times pi squared divided by l squared, then the geodesic must contain conjugate points.",The Myers theorem applies to metric measure spaces satisfying the RCD star condition with positive curvature and dimension greater than one. It states that the fundamental group of such a space is finite. This result extends the classical Myers theorem from Riemannian geometry to,The Bonnet-Myers theorem states that a complete Riemannian manifold with Ricci curvature bounded below by a positive constant must be compact. The diameter of such a manifold is at most pi divided by the square root of that constant. This result links curvature to the global size
named_pair,myers,Myers's theorem,Myers theorem,1,2,"A clear match appears in top-3 but not at rank 1, specifically about Myers theorem's implications.","Myers' theorem states that if a geodesic has length l, and at every point along it the Ricci curvature in every unit direction is at least (n-1) times pi squared divided by l squared, then the geodesic must contain conjugate points.",The Myers theorem applies to metric measure spaces satisfying the RCD star condition with positive curvature and dimension greater than one. It states that the fundamental group of such a space is finite. This result extends the classical Myers theorem from Riemannian geometry to,The Bonnet-Myers theorem states that a complete Riemannian manifold with Ricci curvature bounded below by a positive constant must be compact. The diameter of such a manifold is at most pi divided by the square root of that constant. This result links curvature to the global size
named_pair,myers,positive Ricci curvature implies bounded diameter,Myers theorem,2,1,Top-1 directly addresses Myers theorem and its implications on diameter and Ricci curvature.,A complete connected Riemannian manifold with a lower bound on its Ricci curvature has a bounded diameter. The Ricci curvature must be at least the product of the dimension minus one and a positive constant times the metric. This implies the manifold's diameter is no greater than,A Riemannian manifold with a continuously differentiable metric that is complete and has Ricci curvature bounded below by a positive constant must have a diameter no larger than pi divided by the square root of that constant.,A Riemannian manifold with a continuously differentiable metric that is geodesically complete and has Ricci curvature bounded below by a positive constant must have a diameter no larger than pi divided by the square root of that constant.
named_pair,synge,Synge theorem,Synge's theorem,0,,Only tangentially related; nothing in top-3 directly answers about Synge's theorem.,"The theorem provides bounds on a Jacobi field and its derivatives along a geodesic. It states that if the squared distance from a point is less than a constant, then the field and its first derivative are close to specified vector fields. The second derivative is bounded by a pro",A compact two-dimensional manifold with a metric and vector field that has a certain positive symmetric sectional curvature condition must be diffeomorphic to a spherical space form.,A strongly causal spacetime with smooth timelike sectional curvature bounded above or below by a real number K also has synthetic timelike sectional curvature bounded below or above by K. This holds in any equivalent sense of the synthetic definition. The result connects smooth a
named_pair,synge,Synge's theorem,Synge's theorem,-1,,"Top results discuss unrelated theorems and concepts, not directly addressing Synge's theorem.","On a compact Riemannian manifold without boundary with sectional curvature bounded above by a positive constant, a lower bound exists for the distance between points on two geodesics starting at the same point. This bound depends on a constant determined by the manifold, its metr","Singer's theorem states that for Riemannian manifolds of a given dimension, there is a universal bound such that local homogeneity is equivalent to being curvature homogeneous up to a certain order. This bound is less than half the product of the dimension and one less than the d",The theorem applies when the curvature is positive and the radius equals pi divided by twice the square root of the curvature.
named_pair,yau,Yau theorem,Calabi-Yau theorem (or Yau's other results),2,1,"Top-1 directly addresses the Calabi-Yau theorem, providing a clear and relevant explanation.","Yau's theorem states that on a compact complex manifold with a Kähler metric, given any smooth positive volume form of the same total volume, there exists a unique Kähler metric in the same cohomology class whose volume form equals the given one. This result solves the Calabi con","Yau's theorem states that on a compact Kähler manifold of complex dimension n, given any positive smooth density with total volume equal to that of a fixed Kähler class, there exists a unique smooth Kähler metric within that class whose volume form equals the given density. The m",The conjecture by Yau is confirmed.
named_pair,yau,Calabi-Yau theorem,Calabi-Yau theorem,2,1,"Top-1 directly explains the Calabi-Yau theorem, providing a clear and relevant match.",Calabi's theorem states that the canonical bundle of a complex manifold admits a Calabi-Yau structure. This structure consists of a Kähler form and a holomorphic volume form. The result ensures the existence of these forms with specific geometric properties. It is a foundational ,"Yau's theorem states that on a compact complex manifold with a Kähler metric, given any smooth positive volume form of the same total volume, there exists a unique Kähler metric in the same cohomology class whose volume form equals the given one. This result solves the Calabi con",The Calabi conjecture is true. It states that a certain topological condition guarantees the existence of a unique Kähler metric with a specified Ricci form on a compact Kähler manifold. This result was proven by Shing-Tung Yau.
natural_phrasing,fts_complete,every Cauchy sequence converges,completeness / Cauchy completeness of R,2,1,"Top-1 directly addresses the convergence of Cauchy sequences, aligning perfectly with the searcher's intent.",Every Cauchy sequence converges to a limit.,A Cauchy sequence of real numbers is convergent.,A sequence of real numbers is a Cauchy sequence if and only if it is convergent.
natural_phrasing,fts_complete,real numbers are complete,completeness of R,2,1,"Top-1 directly addresses the completeness of real numbers, clearly matching the search intent.",The real numbers form a complete ordered field. This means the real numbers are totally ordered and every non-empty subset bounded above has a least upper bound. The field operations and order relation satisfy the standard axioms. This structure is unique up to isomorphism.,The real numbers form a complete metric space. A sequence of real numbers converges if and only if it is a Cauchy sequence.,The ordered real numbers with their order topology are complete. Every Cauchy sequence of elements from this set converges within the set.
natural_phrasing,fts_complete,completeness of the real numbers,completeness of R,2,1,Top-1 directly addresses the completeness of real numbers and is highly relevant.,The space of real numbers is complete with respect to the Cauchy criterion. Every Cauchy sequence of real numbers converges to a real number. This property is fundamental in real analysis. It ensures the real number system has no gaps.,The real numbers form a complete metric space. A sequence of real numbers converges if and only if it is a Cauchy sequence.,The real numbers form a complete ordered field. This means the real numbers are totally ordered and every non-empty subset bounded above has a least upper bound. The field operations and order relation satisfy the standard axioms. This structure is unique up to isomorphism.
natural_phrasing,fund_calc_a,integral of derivative equals function difference,FTC part 2,2,1,Top-1 directly states the fundamental theorem of calculus part 2.,The integral of the derivative of a function over an interval equals the difference in the function's values at the endpoints.,A real-valued differentiable function with an integrable derivative equals its starting value plus the integral of its derivative from the starting point to any point in the interval. This holds for all points within the closed interval. The function's value at any point is deter,The integral of the derivative of a function over an interval equals the difference in the function's values at the endpoints. This result holds under appropriate conditions on the function and its derivative. It connects differentiation and integration as inverse processes. This
natural_phrasing,fund_calc_a,integral from a to b of f' equals f(b) - f(a),FTC,2,1,"Top-1 is a clear, on-target match for the fundamental theorem of calculus.",The integral of the derivative of a function from a to b equals the function's value at b minus its value at a.,The integral of the derivative of a function from a to b equals the function evaluated at b minus the function evaluated at a.,The integral of the derivative of a function from a to b equals the function evaluated at b minus the function evaluated at a.
natural_phrasing,fund_calc_a,fundamental theorem of calculus,FTC,2,1,"Top-1 provides a clear, accurate definition of the fundamental theorem of calculus.",A continuous function on a closed interval has a definite integral equal to the difference of its antiderivative evaluated at the endpoints. This result connects integration with differentiation. It is known as the fundamental theorem of calculus. The formula holds for any antide,The integral of the derivative of a function over an interval equals the difference in the function's values at the endpoints. This result holds under appropriate conditions on the function and its derivative. It connects differentiation and integration as inverse processes. This,"A continuous real function on a closed interval has a primitive function. If F is any primitive of f on that interval, then the definite integral of f from a to b equals F evaluated at b minus F evaluated at a. This result connects integration with differentiation. It is known as"
natural_phrasing,trig_eul,Euler's identity,e^(i pi) + 1 = 0,1,1,"Top-1 is a clear match, but additional results are less relevant.","Euler's identity states that e raised to the power of i times pi plus one equals zero. It connects five fundamental mathematical constants: e, i, pi, one, and zero. The identity is a special case of Euler's formula. It is widely regarded as an example of mathematical beauty.","Euler's formula states that the complex exponential of an imaginary number equals the sum of cosine and sine functions. Specifically, e raised to the power of i times theta equals cosine theta plus i times sine theta. Here, i is the imaginary unit. This identity connects complex ","The theorem presents four identities involving ratios of the Euler function evaluated at different exponential arguments. Each identity expresses the ratio as an algebraic combination of cube roots, square roots, and rational numbers. The results are specific to arguments involvi"
natural_phrasing,trig_eul,e^(i pi) = -1,Euler's identity,1,3,"A clear match appears in top-3, specifically about Euler's identity connecting constants.",The theorem states that the value of e equals one.,The theorem defines a mathematical object called e.,"Euler's identity states that e raised to the power of i times pi plus one equals zero. It connects five fundamental mathematical constants: e, i, pi, one, and zero. The identity is a special case of Euler's formula. It is widely regarded as an example of mathematical beauty."
natural_phrasing,trig_eul,$e^{i\pi}+1=0$,Euler's identity,2,1,Top-1 directly explains Euler's identity and its significance.,"Euler's identity states that e raised to the power of i times pi plus one equals zero. It connects five fundamental mathematical constants: e, i, pi, one, and zero. This equation is widely regarded for its elegance and depth in mathematics.","Euler's identity states that e raised to the power of i times pi plus one equals zero. It connects five fundamental mathematical constants: e, i, pi, one, and zero. The identity is a special case of Euler's formula. It is widely regarded as an example of mathematical beauty.",The theorem defines a mathematical object called e.
natural_phrasing,uniq_factor,unique factorization domain,UFD definition,1,2,"A clear match appears in top-3 but not at rank 1, providing relevant definitions of UFD.",The algebraic structure is an integral domain. It also satisfies the unique factorization property.,An integral domain is a unique factorization domain if and only if every nonzero non-unit element factors into irreducibles and every irreducible element is prime.,An integral domain is a unique factorization domain if and only if every nonzero element factors into primes and a unit.
natural_phrasing,uniq_factor,UFD,UFD,1,3,"A clear match appears in top-3 but not at rank 1, providing relevant information about UFDs.",The algebraic structure is an integral domain. It also satisfies the unique factorization property.,"A commutative ring R is a UFD if and only if its polynomial ring in one or more variables is a UFR, or is atomic with homomorphic factorizations. R is a finite direct product of UFDs if and only if its polynomial ring in one or more variables is factorial or satisfies certain UFR","Let R be a unique factorization domain of characteristic p at least zero with field of fractions K. Consider a polynomial g in R[X,Y,Z] of the form bZ^n minus a, where a and b are in R[X,Y], b is nonzero, and n is at least 2 with p not dividing n. If the quotient ring R[X,Y,Z] di"
natural_phrasing,iso_thm,first isomorphism theorem,first isomorphism theorem (groups/rings),2,1,"Top-1 is a clear, on-target match for the first isomorphism theorem.","The quotient of a structure S by the kernel of a homomorphism phi is isomorphic to the image of phi. This result is known as the first isomorphism theorem. It applies to various algebraic structures like groups, rings, and modules. The theorem connects the kernel and image throug",The quotient group of G by the kernel of a homomorphism is isomorphic to the image of that homomorphism. This result is known as the first isomorphism theorem. It establishes a fundamental connection between homomorphisms and quotient structures. The theorem applies to groups and,"The First Isomorphism Theorem states that for a homomorphism f from A to B, the quotient of A by the kernel of f is isomorphic to the image of f. This means the structure of the image is exactly captured by factoring out the kernel. The theorem applies to algebraic structures lik"
natural_phrasing,iso_thm,G/ker f is isomorphic to image f,first isomorphism theorem,2,1,Top-1 directly states the first isomorphism theorem clearly and accurately.,The image of f is defined as the set of all values v for which there exists an input a such that f of a equals v. The quotient of A by the equivalence relation induced by f is isomorphic to the quotient of A by the kernel of f. This quotient is equal to the image of f.,The function g is surjective. The kernel of g is equal to the image of f.,The function g maps onto its entire codomain. The kernel of g is equal to the image of f.
open_conj,,Goldbach conjecture,every even integer >2 is sum of two primes,2,1,"Top-1 directly defines the conjecture, clearly matching the search intent.",The conjecture is equivalent to the Goldbach conjecture.,Every even number greater than two can be written as the sum of two prime numbers. This statement is known as Goldbach's conjecture. It has been verified for very large numbers but remains unproven in general. The conjecture applies to all even integers above two.,The Goldbach Conjecture states that every even integer greater than or equal to six is expressible as the sum of two prime numbers.
open_conj,,twin prime conjecture,infinitely many primes p with p+2 also prime,2,1,"Top-1 is a clear, on-target match for the twin prime conjecture.",The twin prime conjecture states that there are infinitely many pairs of prime numbers that differ by two.,The Twin Prime Conjecture proposes that there are infinitely many pairs of twin primes. Twin primes are prime numbers that differ by two. This conjecture remains unproven despite extensive mathematical research. It is one of the most famous open problems in number theory.,"Twin primes are pairs of primes differing by two. For any natural number N, there exists a twin prime pair where both primes are larger than N. This statement claims that there are infinitely many twin primes. It is known as the twin prime conjecture."
open_conj,,abc conjecture,abc conjecture in number theory,1,2,"Top-3 includes relevant information about the abc conjecture, but top-1 is not a clear match.","The ABC conjecture states that for any coprime integers a, b, and c with a plus b equal to c, the product c is bounded above by a function of the radical of their product. The radical is the product of distinct primes dividing a, b, and c. The bound involves an exponential functi",The strong abc-conjecture implies the abc-conjecture.,Conjecture Denom follows from the uniform abc-conjecture over number fields.
open_conj,,Catalan conjecture,Mihailescu theorem on x^p - y^q = 1,1,2,"Top-3 includes relevant information about Mihailescu's theorem, but not in the first position.","The only solution in positive integers to the equation x to the power of n minus y to the power of m equals one is when x is three, y is two, n is two, and m is three. This result is known as Catalan's conjecture. It states that the only consecutive powers of natural numbers are ","The only solution to the equation x to the power of m minus y to the power of n equals 1 in positive integers greater than one is when x is 3, y is 2, m is 2, and n is 3. This yields the identity 3 squared minus 2 cubed equals 1. No other nonzero integer solutions exist for expon",The equation one plus a raised to the n equals two raised to the m has no integer solutions when both n and m are greater than one. This is a specific instance of Catalan's conjecture.
open_conj,,Mihailescu theorem,Mihailescu's theorem (Catalan conjecture),2,1,"Top-1 directly defines Mihailescu's theorem, clearly addressing the search intent.","Mihailescu's theorem states that the only solution in integers greater than one to the equation a to the power of x minus b to the power of y equals one is when a is three, b is two, x is two, and y is two. This means that three squared minus two squared equals one. The equation ","The only solution to the equation x to the power of m minus y to the power of n equals 1 in positive integers greater than one is when x is 3, y is 2, m is 2, and n is 3. This yields the identity 3 squared minus 2 cubed equals 1. No other nonzero integer solutions exist for expon","Given positive integers with specific ordering and coprimality conditions, the equation involving powers of a and b has only finitely many solutions in positive integers. The conditions require the exponents to be fixed and satisfy certain inequalities and relative primality. The"
open_conj,,Birch and Swinnerton-Dyer conjecture,BSD conjecture on elliptic curves,2,1,"Top-1 directly addresses the BSD conjecture for elliptic curves, providing a clear and relevant explanation.","The Birch and Swinnerton-Dyer conjecture for an elliptic curve over a field states that the L-function value divided by the period equals the product of the Tate-Shafarevich group size, the reciprocal of the square of the rational points group size, and the local Tamagawa numbers","The Birch and Swinnerton-Dyer conjecture relates an L-function value to arithmetic invariants of an abelian variety over a number field. It equates the ratio of the L-function at one to a period with a product involving the Tate-Shafarevich group, Mordell-Weil groups, and local T",The Birch and Swinnerton-Dyer conjecture holds for the elliptic curve E. The order of vanishing of the L-function at s equals 1 is the rank of the Mordell-Weil group. The Tate-Shafarevich group of E is finite. The leading coefficient of the L-function at s equals 1 is given by a 
open_conj,,Hodge conjecture,Hodge conjecture in algebraic geometry,1,2,"A clear match appears in top-3, specifically about the conjecture's implications for complex varieties.",The Hodge conjecture holds for a smooth proper complex variety if and only if it also holds for the derived category of perfect complexes on that variety.,"The Hodge conjecture is equivalent to a statement about complex projective varieties. For any even-dimensional smooth variety, consider a rational cohomology class of type (n,n). There exist nonzero integers and an effective algebraic cycle such that the cycle's fundamental class",The conjecture is implied by the usual Hodge conjecture.
open_conj,,P versus NP problem,P vs NP conjecture,1,2,"A clear match appears in top-3, but not at rank 1.",The P versus NP problem asks whether every problem with a solution that can be verified quickly can also be solved quickly. This theorem states that P is not equal to NP. It means there are problems for which solutions are hard to find but easy to check. This is a fundamental res,The P versus NP problem remains unsolved. It is not proven that P equals NP. The theorem asserts that P is not equal to NP. This is a major unsolved question in computer science.,The problem belongs to the complexity class NP.
open_conj,,Navier-Stokes existence and smoothness,Navier-Stokes Millennium problem,2,1,Top-1 directly addresses the Navier-Stokes Millennium problem with a clear statement on existence and smoothness.,The Navier-Stokes equations have a unique smooth solution for any smooth initial condition.,"Given initial data satisfying certain conditions, the theorem establishes global existence and uniqueness of strong solutions to the Navier-Stokes equations. The result holds under one of three sets of assumptions on the initial velocity and density. These assumptions involve spe",A smooth solution exists for the Navier-Stokes equations given smooth initial data. This solution is unique and remains smooth over any finite time interval. The result holds for any fixed positive time T.
open_conj,,Yang-Mills mass gap,Yang-Mills mass gap problem,1,3,"Top-3 contains relevant information about the Yang-Mills mass gap, but top-1 is not a clear match.","A solution of the Yang-Mills equation has a mass gap at a point if and only if, for every character-quantum state, the evaluation of the Hamiltonian at that point is nonzero.","The Yang-Mills equation has local and global solutions with a mass gap. These solutions are contained in a formally and completely integrable subsystem called the Higgs-quantum super PDE. Under certain topological conditions, this subsystem becomes a quantum extended crystal supe",The mass gap of the quantum energy-mass operator is at least one in all Lorentz coordinates.
nt_named,,Dirichlet theorem on primes in arithmetic progressions,Dirichlet's theorem on primes in arithmetic progressions,2,1,"Top-1 is a clear, on-target match for Dirichlet's theorem on primes in arithmetic progressions.","For relatively prime integers a and b, the arithmetic progression a n plus b contains infinitely many prime numbers. This holds for all natural numbers n. The result is known as Dirichlet's theorem on arithmetic progressions. It generalizes Euclid's theorem on the infinitude of p","Dirichlet's theorem states that for any two coprime integers, there are infinitely many primes congruent to one modulo the other. This holds regardless of the specific coprime pair chosen. The primes are evenly distributed among the residue classes coprime to the modulus. This is","Dirichlet's theorem states that if two positive integers are coprime, then the arithmetic progression formed by their linear combination contains infinitely many primes."
