paper,theorem_label,theorem_type,mode,query,target_title,ts_paper_rank,matlas_paper_rank,ts_theorem_rank,matlas_theorem_rank,ts_top1_title,matlas_top1_title
1309.1803,,lemma,vague,pants decomposition of higher genus curves,Perverse Curves and Mirror Symmetry,1,1,,,Perverse Curves and Mirror Symmetry,Perverse curves and mirror symmetry
1309.1803,mainthm-2,theorem,precise,"For a perverse curve, the Hodge numbers are determined by triple points, component genera, and the vertices and edges of the dual intersection complex.",Perverse Curves and Mirror Symmetry,1,1,1,1,Perverse Curves and Mirror Symmetry,Perverse curves and mirror symmetry
1304.5861,parity-sign-lemma,lemma,precise,"For a Y-surface with boundary Gamma, the signs at O and O-star coincide exactly when the number of Y-intersection points is even.","Helicoidal minimal surfaces of prescribed genus, I",1,1,1,1,"Helicoidal minimal surfaces of prescribed genus, I",Helicoidal minimal surfaces of prescribed genus
1309.1803,mainthm-2,theorem,vague,Hodge numbers of perverse curves,Perverse Curves and Mirror Symmetry,1,1,1,,Perverse Curves and Mirror Symmetry,Perverse curves and mirror symmetry
1309.1803,,theorem,precise,The perverse curve construction does not depend on the chosen resolution of the degeneration or on the auxiliary variety X2.,Perverse Curves and Mirror Symmetry,1,1,1,1,Perverse Curves and Mirror Symmetry,Perverse curves and mirror symmetry
1309.1803,,theorem,vague,invariance of perverse curve construction,Perverse Curves and Mirror Symmetry,1,2,1,2,Perverse Curves and Mirror Symmetry,A support theorem for Hilbert schemes of planar curves
1309.1803,countZdata,lemma,precise,"For MPCP triangulations of dual reflexive polytopes, simplex counts on two-faces are triangulation-independent and give explicit formulas for edges, triple points, and vertices.",Perverse Curves and Mirror Symmetry,1,1,1,1,Perverse Curves and Mirror Symmetry,Perverse curves and mirror symmetry
1309.1459,aux.2,proposition,precise,Any smooth upper barrier touching the outer-radius quantity rho at a point satisfies the corresponding viscosity differential inequality under mean curvature flow.,A sharp bound for the inscribed radius under mean curvature flow,1,,1,,A sharp bound for the inscribed radius under mean curvature flow,A regularity theorem for curvature flows
1309.1803,countZdata,lemma,vague,combinatorics of MPCP triangulations and dual polytopes,Perverse Curves and Mirror Symmetry,,1,,1,Generalized break divisors and triangulations of Lawrence polytopes,Perverse curves and mirror symmetry
1311.4960,L:vanishing on X,lemma,vague,density of hypersurfaces containing a subscheme,Bertini irreducibility theorems over finite fields,,2,,3,Random hypersurfaces and embedding curves in surfaces over finite fields,Bertini theorems revisited
1309.1459,aux,proposition,precise,A smooth upper support for the inscribed-radius function mu satisfies an elliptic differential inequality at any point where mu exceeds the top principal curvature.,A sharp bound for the inscribed radius under mean curvature flow,5,,5,,An inscribed radius estimate for mean curvature flow in Riemannian manifolds,Maximum principle for hypersurfaces
1309.1803,,lemma,precise,Any curve of genus at least two can be cut along 3g minus 3 disjoint circles into 2g minus 2 pairs of pants.,Perverse Curves and Mirror Symmetry,1,1,,,Perverse Curves and Mirror Symmetry,Perverse curves and mirror symmetry
1311.4960,,corollary,precise,"Under the inverse-image hypotheses, the density of hypersurfaces preserving irreducible components of X is an explicit Euler product over codimension-one fibers.",Bertini irreducibility theorems over finite fields,2,1,2,1,Newton polytopes and numerical algebraic geometry,Bertini irreducibility theorems over finite fields
1311.4960,,corollary,vague,density formulas for Bertini irreducibility,Bertini irreducibility theorems over finite fields,7,2,8,2,Fibrations with few rational points,A probabilistic approach to systems of parameters and Noether normalization
1311.4960,T:inverse image bijection,theorem,precise,"If every irreducible component maps to dimension at least two in projective space, a density-one set of hypersurfaces preserves horizontal irreducible components under intersection.",Bertini irreducibility theorems over finite fields,1,1,1,1,Bertini irreducibility theorems over finite fields,Bertini irreducibility theorems over finite fields
1311.4960,L:intersects X,lemma,precise,"For a positive-dimensional subscheme of projective space over a finite field, almost all hypersurfaces meet the subscheme.",Bertini irreducibility theorems over finite fields,1,2,1,2,Bertini irreducibility theorems over finite fields,Random hypersurfaces and embedding curves in surfaces over finite fields
1402.2028,theorem:i,theorem,precise,"Large Dehornoy order on a braid forces its closure knot to have large genus, full braid index, and in the pseudo-Anosov case be hyperbolic.",A kernel of a braid group representation yields a knot with trivial knot polynomials,1,1,1,1,A kernel of a braid group representation yields a knot with trivial knot polynom,A kernel of a braid group representation yields a knot with trivial knot polynom
1402.2028,theorem:i,theorem,vague,Dehornoy ordering and knot properties,A kernel of a braid group representation yields a knot with trivial knot polynomials,3,,3,,Remark on ordered braid groups,Ordered Groups and Topology
1402.2028,cor:trivial2,corollary,vague,nonfaithful quantum representations and knot invariants,A kernel of a braid group representation yields a knot with trivial knot polynomials,1,1,1,1,A kernel of a braid group representation yields a knot with trivial knot polynom,A kernel of a braid group representation yields a knot with trivial knot polynom
1402.2028,,corollary,precise,"If the four-strand Burau representation is not faithful, then the Jones polynomial does not detect the unknot.",A kernel of a braid group representation yields a knot with trivial knot polynomials,1,1,1,1,A kernel of a braid group representation yields a knot with trivial knot polynom,A kernel of a braid group representation yields a knot with trivial knot polynom
1402.2028,proposition:D-order,proposition,precise,"Alternating decomposition of a positive braid determines its Dehornoy order, bounds it between nearby powers of Delta, and gives a special form in the low-order case.",A kernel of a braid group representation yields a knot with trivial knot polynomials,1,,1,,A kernel of a braid group representation yields a knot with trivial knot polynom,Ordering Braids
1402.2028,,corollary,vague,Burau representation and unknot detection,A kernel of a braid group representation yields a knot with trivial knot polynomials,1,1,1,1,A kernel of a braid group representation yields a knot with trivial knot polynom,A kernel of a braid group representation yields a knot with trivial knot polynom
1311.4960,L:vanishing on X,lemma,precise,"Among homogeneous polynomials, those that vanish identically on a positive-dimensional subscheme of projective space have density zero.",Bertini irreducibility theorems over finite fields,1,1,1,1,Bertini irreducibility theorems over finite fields,Bertini irreducibility theorems over finite fields
1402.2028,proposition:D-order,proposition,vague,alternating decomposition and Dehornoy order,A kernel of a braid group representation yields a knot with trivial knot polynomials,,1,,1,Gaps in scl for Amalgamated Free Products and RAAGs,A kernel of a braid group representation yields a knot with trivial knot polynom
1403.7383,equivconj,corollary,precise,"Under suitable depth conditions for determinantal modules, Ext groups between symmetric powers reduce to Ext groups from the base ring A.",On the normal sheaf of determinantal varieties,1,2,1,2,On the normal sheaf of determinantal varieties,Local cohomology with support in ideals of maximal minors and sub-maximal Pfaffi
1403.7383,res,corollary,precise,"The first Ext module of M with a symmetric power has an explicit free resolution built from standard resolutions, yielding lower bounds on its depth.",On the normal sheaf of determinantal varieties,1,1,1,1,On the normal sheaf of determinantal varieties,On the normal sheaf of determinantal varieties
1311.4960,T:inverse image bijection,theorem,vague,Bertini irreducibility for horizontal components,Bertini irreducibility theorems over finite fields,1,1,1,1,Bertini irreducibility theorems over finite fields,Bertini irreducibility theorems over finite fields
1403.7383,equivconj,corollary,vague,Ext groups for determinantal modules,On the normal sheaf of determinantal varieties,1,1,1,1,On the normal sheaf of determinantal varieties,On the normal sheaf of determinantal varieties
1311.4960,L:intersects X,lemma,vague,generic hypersurface intersections over finite fields,Bertini irreducibility theorems over finite fields,,,,,On Witt vector cohomology for singular varieties,On Witt vector cohomology for singular varieties
1403.7383,vaniss,corollary,precise,"For a determinantal ring with depth at least four along J, the first Ext group of the conormal module into Hom(M,A) vanishes.",On the normal sheaf of determinantal varieties,1,1,1,1,On the normal sheaf of determinantal varieties,On the normal sheaf of determinantal varieties
1403.7383,vaniss,corollary,vague,vanishing Ext for determinantal conormal modules,On the normal sheaf of determinantal varieties,2,2,2,2,Deformations of modules of maximal grade and the Hilbert scheme at determinantal,Deformations of modules of maximal grade and the Hilbert scheme at determinantal
1402.2028,cor:trivial2,corollary,precise,"If a family of quantum braid group representations is nonfaithful, every knot shares those quantum invariants with infinitely many distinct hyperbolic knots.",A kernel of a braid group representation yields a knot with trivial knot polynomials,1,1,1,1,A kernel of a braid group representation yields a knot with trivial knot polynom,A kernel of a braid group representation yields a knot with trivial knot polynom
1403.7383,,corollary,vague,simplicity of normal sheaves for ACM subschemes,On the normal sheaf of determinantal varieties,1,2,1,2,On the normal sheaf of determinantal varieties,Gorenstein biliaison and ACM sheaves
1403.7383,,corollary,precise,Certain codimension two ACM and codimension three arithmetically Gorenstein subschemes have simple normal sheaf under depth and degree-separation hypotheses.,On the normal sheaf of determinantal varieties,1,1,1,1,On the normal sheaf of determinantal varieties,On the normal sheaf of determinantal varieties
1407.0806,pp:iota,proposition,vague,braid twists versus spherical twists,Decorated marked surfaces: spherical twists versus braid twists,,10,,,Finite presentations for spherical/braid twist groups from decorated marked surf,Universal functors on symmetric quotient stacks of Abelian varieties
1407.0806,pp:trivial,proposition,precise,"For a decorated marked surface that is neither a polygon nor an annulus, the subgroup denoted Z0BT is trivial.",Decorated marked surfaces: spherical twists versus braid twists,1,3,1,3,Decorated marked surfaces: spherical twists versus braid twists,Tagged mapping class groups: Auslander-Reiten translation
1407.0806,lem:Hom,lemma,vague,intersection numbers and Hom dimensions,Decorated marked surfaces: spherical twists versus braid twists,3,,3,,Graded decorated marked surfaces: Calabi-Yau-$\mathbb{X}$ categories of gentle a,A geometric model for the module category of a skew-gentle algebra
1407.0806,pp:ses2,proposition,precise,Three closed arcs forming a clockwise contractible triangle on the surface yield representatives whose associated objects fit into a nontrivial distinguished triangle.,Decorated marked surfaces: spherical twists versus braid twists,1,1,1,1,Decorated marked surfaces: spherical twists versus braid twists,Decorated marked surfaces: spherical twists versus braid twists
1403.7383,res,corollary,vague,free resolutions for Ext modules,On the normal sheaf of determinantal varieties,3,2,3,2,Hyperelliptic curves and Ulrich sheaves on the complete intersection of two quad,Invariant resolutions for several Fueter operators
1407.0806,pp:ses2,proposition,vague,distinguished triangles from arcs on marked surfaces,Decorated marked surfaces: spherical twists versus braid twists,,,,,Exact WKB analysis and cluster algebras,A geometric realization of silting theory for gentle algebras
1409.3541,lem:TwistedModule,lem,precise,The two stabilization maps give equivariant homomorphisms between successive coefficient modules over the group ring of the stable abelianized automorphism group.,Homological stability for automorphism groups,,,,,Loop groups and holomorphic bundles,Loop groups and holomorphic bundles
1409.3541,lem:TwistedModule,lem,vague,equivariant stabilization maps in automorphism groups,Homological stability for automorphism groups,,,,,Homological stability: a tool for computations,On the edge of the stable range
1409.3541,,thm,precise,"For orientable surfaces, adding a torus with one boundary gives homological stability for mapping class groups, with surjectivity and isomorphism ranges determined by genus and coefficient degree.",Homological stability for automorphism groups,,,,,Tethers and homology stability for surfaces,Improved homological stability for the mapping class group with integral or twis
1407.0806,pp:iota,proposition,precise,"There is a canonical homomorphism from the braid twist group of the decorated triangulation to the spherical twist group, matching the standard generators.",Decorated marked surfaces: spherical twists versus braid twists,3,8,3,,Graded decorated marked surfaces: Calabi-Yau-$\mathbb{X}$ categories of gentle a,Cluster exchange groupoids and framed quadratic differentials
1409.3541,,thm,vague,mapping class group homological stability by genus,Homological stability for automorphism groups,,,,,Tethers and homology stability for surfaces,Mapping class groups of nonorientable surfaces
1409.3541,,lem,precise,"When one stabilizes by a torus with one boundary and the base surface is orientable, the associated simplicial complex is (n minus 3 over 2)-connected.",Homological stability for automorphism groups,1,,,,Homological stability for automorphism groups,Surface Houghton groups
1409.3541,,thm,precise,"Adding a boundary cylinder yields homological stability for surface mapping class groups, and also for configuration-space braid groups when the surface has one boundary component.",Homological stability for automorphism groups,,,,,Tethers and homology stability for surfaces,Stability properties of moduli spaces
1407.0806,pp:trivial,proposition,vague,triviality results for braid twist groups,Decorated marked surfaces: spherical twists versus braid twists,,1,,1,Finite presentations for spherical/braid twist groups from decorated marked surf,Decorated marked surfaces: spherical twists versus braid twists
1409.3541,,thm,vague,homological stability for surface braid and mapping class groups,Homological stability for automorphism groups,7,,7,,Tethers and homology stability for surfaces,Stability properties of moduli spaces
1407.0806,lem:Hom,lemma,precise,"For the complex attached to a closed arc, graded Hom dimensions from the basic objects equal the geometric intersection numbers with that arc.",Decorated marked surfaces: spherical twists versus braid twists,,,,,A geometric realization of Koszul duality for graded gentle algebras,A geometric model of tube categories
1505.03665,lem:bertini3,lemma,precise,"General choices of r hyperplanes cut an irreducible codimension-r section, keep the regular locus regular, and preserve complement codimension at least two.",Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,1,1,1,1,Non-density of small points on divisors on abelian varieties and the Bogomolov c,Non-density of small points on divisors on abelian varieties and the Bogomolov c
1505.03665,lem:bertini3,lemma,vague,Bertini theorem for regular hyperplane sections,Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,,,,,Maximal Chains of Prime Ideals of Different Lengths in Unique Factorization Doma,A symmetric homotopy and hybrid polynomial system solving method for mixed trigo
1505.03665,thm:curvecase,theorem,vague,Bogomolov conjecture for curves in abelian varieties,Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,1,1,1,1,Non-density of small points on divisors on abelian varieties and the Bogomolov c,Non-density of small points on divisors on abelian varieties and the Bogomolov c
1505.03665,thm:BCFC,theorem,precise,"For a non-isotrivial curve, every point of its Jacobian has a sufficiently small neighborhood containing only finitely many curve points.",Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,1,3,1,3,Non-density of small points on divisors on abelian varieties and the Bogomolov c,Capacity Theory with Local Rationality: The Strong Fekete-Szegö Theorem on Curve
1505.03665,lem:cl:prop:bertini2,lemma,vague,hyperplane sections through general points,Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,,,,,Newton polytopes and numerical algebraic geometry,"Non-level semi-standard graded Cohen-Macaulay domain with $h$-vector $(h_0, h_1,"
1505.04172,cor:Answer-To_BF,cor,precise,"For complete modules over a flat local map of complete noetherian local rings with the same residue field, completed Hochschild cohomology equals ordinary Hochschild cohomology.",Hochschild cohomology commutes with adic completion,1,2,1,2,Hochschild cohomology commutes with adic completion,Power series rings and projectivity
1505.04172,cor:Answer-To_BF,cor,vague,adic completion and Hochschild cohomology,Hochschild cohomology commutes with adic completion,3,3,3,,Derived Hochschild functors over commutative adic algebras,Hochschild and cyclic homology of finite type algebras
1505.04172,thm:wide-rgamma,thm,precise,"For a weakly proregular finitely generated ideal, derived completed torsion is computed by the completed ring tensored with the infinite dual Koszul complex.",Hochschild cohomology commutes with adic completion,1,,1,,Hochschild cohomology commutes with adic completion,The homotopy theory of complete modules
1409.3541,,lem,vague,connectivity of surface stabilization complexes,Homological stability for automorphism groups,,,,,Stability conditions on free abelian quotients,Secondary homological stability for unordered configuration spaces
1505.04172,cor:derived-fiber-of-formal,cor,precise,"Under flatness and completeness hypotheses, the derived fiber product of two formal schemes over k is the formal spectrum of a suitably completed tensor product.",Hochschild cohomology commutes with adic completion,1,,1,,Hochschild cohomology commutes with adic completion,Invarianten der degenerierten Fasern in lokalen Familien von Kurven
1505.04172,thm:wide-rgamma,thm,vague,derived torsion via completed Koszul complexes,Hochschild cohomology commutes with adic completion,,,,,"Weak Proregularity, Derived Completion, Adic Flatness, and Prisms",Dedualizing complexes and MGM duality
1505.04172,thm:LLambda-Of-Hochscild,thm,precise,"Under standard finiteness or proregularity assumptions, completed Hochschild cohomology functors can be computed equivalently over the ordinary or completed enveloping algebra.",Hochschild cohomology commutes with adic completion,3,2,3,2,Power series rings and projectivity,Completion and torsion over commutative DG rings
1505.04172,cor:derived-fiber-of-formal,cor,vague,derived fiber products of formal schemes,Hochschild cohomology commutes with adic completion,,,,,A flag version of Beilinson-Drinfeld Grassmannian for surfaces,Uniform local constancy of étale cohomology of rigid analytic varieties
1505.03665,thm:curvecase,theorem,precise,A one-dimensional closed subvariety of an abelian variety with dense small points must be a special subvariety.,Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,2,1,2,1,Survey on the geometric Bogomolov conjecture,Non-density of small points on divisors on abelian varieties and the Bogomolov c
1507.00383,prop:reversal,proposition,vague,orientation reversal in involutive Heegaard Floer theory,Involutive Heegaard Floer homology,,3,,3,Introduction to the basics of Heegaard Floer homology,Holomorphic disks and knot invariants
1507.00383,prop:reversal,proposition,precise,"Under orientation reversal, the lower involutive correction term of a three-manifold equals the negative of the upper correction term of the reversed manifold.",Involutive Heegaard Floer homology,1,1,1,1,Involutive Heegaard Floer homology,Involutive Heegaard Floer homology
1507.00383,propn:exact,proposition,vague,exact triangle in involutive Heegaard Floer homology,Involutive Heegaard Floer homology,3,6,3,,"Heegaard Floer correction terms, with a twist",Involutive bordered Floer homology
1507.00383,propn:exact,proposition,precise,"For a spin three-manifold, involutive Heegaard Floer homology sits in an exact triangle with ordinary Heegaard Floer homology and a shifted Q-twisted copy.",Involutive Heegaard Floer homology,1,1,1,,On the involutive Heegaard Floer homology of negative semi-definite plumbed 3-ma,Involutive Heegaard Floer homology
1505.03665,thm:BCFC,theorem,vague,small points on non-isotrivial Jacobians,Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,1,4,1,4,Non-density of small points on divisors on abelian varieties and the Bogomolov c,Geometric Bogomolov conjecture for abelian varieties and some results for those 
1505.03665,lem:cl:prop:bertini2,lemma,precise,"Through every point in a dense open subset of X, there passes an admissible r-fold hyperplane section coming from the chosen dense open family.",Non-density of small points on divisors on abelian varieties and the Bogomolov conjecture,2,1,2,1,de Rham-Witt sheaves via algebraic cycles,Non-density of small points on divisors on abelian varieties and the Bogomolov c
1507.00383,propn:thin,proposition,vague,involutions on thin knot Floer complexes,Involutive Heegaard Floer homology,1,1,1,1,Involutive Heegaard Floer homology,Involutive Heegaard Floer homology
1507.00383,propn:thin,proposition,precise,A thin knot has a unique grading-preserving automorphism of its knot Floer complex that swaps the two filtrations and squares to Sarkar's involution.,Involutive Heegaard Floer homology,1,1,1,1,Involutive Heegaard Floer homology,Involutive Heegaard Floer homology
1507.00383,lemma:identities,lemma,vague,duality pairing in involutive Floer complexes,Involutive Heegaard Floer homology,3,7,,,Duality in filtered Floer-Novikov complexes,A rank inequality for the knot Floer homology of double branched covers
1508.07112,thm:trex,theorem,precise,"If F satisfies the required growth and vanishing conditions, its trace generating series is a weakly holomorphic weight 3/2 modular form with explicit coefficients.",Heegner divisors in generalized Jacobians and traces of singular moduli,1,1,1,2,Heegner divisors in generalized Jacobians and traces of singular moduli,Heegner divisors in generalized Jacobians and traces of singular moduli
1508.07112,prop:modcrit,proposition,vague,criterion for weakly holomorphic modular forms,Heegner divisors in generalized Jacobians and traces of singular moduli,,,,,Rank 2 symmetric hyperbolic Kac-Moody algebras and Hilbert modular forms,An approach to BPS black hole microstate counting in an $N=2$ STU model
1508.07112,,corollary,precise,The generating series of traces of singular moduli is a weakly holomorphic weight 3/2 modular form in the plus space for level 4.,Heegner divisors in generalized Jacobians and traces of singular moduli,1,1,,4,Heegner divisors in generalized Jacobians and traces of singular moduli,Heegner divisors in generalized Jacobians and traces of singular moduli
1508.07112,,corollary,vague,generating series for traces of singular moduli,Heegner divisors in generalized Jacobians and traces of singular moduli,4,1,,,Traces of reciprocal singular moduli,Heegner divisors in generalized Jacobians and traces of singular moduli
1505.04172,thm:LLambda-Of-Hochscild,thm,vague,completed Hochschild cohomology functor comparison,Hochschild cohomology commutes with adic completion,6,9,,9,The Invariance and the General CCT Theorems,DG affinity of DQ-modules
1508.07112,,proposition,precise,"If the negative coefficients and constant term vanish suitably, summing F over divisor support defines a linear trace map on the generalized Jacobian.",Heegner divisors in generalized Jacobians and traces of singular moduli,1,1,1,1,Heegner divisors in generalized Jacobians and traces of singular moduli,Heegner divisors in generalized Jacobians and traces of singular moduli
1508.07112,,proposition,vague,trace maps on generalized Jacobians,Heegner divisors in generalized Jacobians and traces of singular moduli,1,,1,,Heegner divisors in generalized Jacobians and traces of singular moduli,Noether-Lefschetz locus for Beilinson-Hodge cycles. I
1510.06292,thm:KM,theorem,precise,"For any cohomology class on a closed oriented irreducible three-manifold, four pi times its Thurston norm is the least product of scalar-curvature norm and class norm over all metrics.",Norms on the cohomology of hyperbolic 3-manifolds,1,2,1,2,Norms on the cohomology of hyperbolic 3-manifolds,Scalar curvature and harmonic maps to $S^1$
1507.00383,lemma:identities,lemma,precise,"The involutive pairing is compatible with both the involutive differential and multiplication by U, allowing either operation to move between the two inputs.",Involutive Heegaard Floer homology,3,,3,,A new approach to Kazhdan-Lusztig theory of type B via quantum symmetric pairs,Symmetric invariant pairings in vertex operator super algebras and Gramians
1510.06292,lem:stable,lemma,precise,Any stable closed minimal surface in a hyperbolic three-manifold has area between pi times and two pi times the absolute value of its Euler characteristic.,Norms on the cohomology of hyperbolic 3-manifolds,1,1,1,1,Norms on the cohomology of hyperbolic 3-manifolds,Norms on the cohomology of hyperbolic 3-manifolds
1510.06292,lem:stable,lemma,vague,area bounds for minimal surfaces in hyperbolic 3-manifolds,Norms on the cohomology of hyperbolic 3-manifolds,2,2,2,2,Geometric Methods In Heegaard Theory,Minimal hypersurfaces of least area
1508.07112,thm:trex,theorem,vague,traces of singular moduli and weight 3/2 forms,Heegner divisors in generalized Jacobians and traces of singular moduli,4,1,10,,Traces of reciprocal singular moduli,Heegner divisors in generalized Jacobians and traces of singular moduli
1510.06292,lem:alggengrows,lemma,vague,cohomology growth in a hyperbolic 3-manifold tower,Norms on the cohomology of hyperbolic 3-manifolds,,5,,5,Expander Graphs in Pure and Applied Mathematics,Free subgroups of 3-manifold groups
1510.06292,lem:alggengrows,lemma,precise,"The first cohomology of M_n is infinite cyclic, generated by a combination of two basis classes whose coefficients grow exponentially at rate (3+sqrt 5)/2.",Norms on the cohomology of hyperbolic 3-manifolds,1,1,1,1,Norms on the cohomology of hyperbolic 3-manifolds,Norms on the cohomology of hyperbolic 3-manifolds
1508.07112,prop:modcrit,proposition,precise,A formal Laurent series is a weakly holomorphic modular form exactly when it satisfies the coefficient conditions and pairs trivially with every dual modular form.,Heegner divisors in generalized Jacobians and traces of singular moduli,1,1,1,1,Heegner divisors in generalized Jacobians and traces of singular moduli,Heegner divisors in generalized Jacobians and traces of singular moduli
1510.06292,lem:normsplitting,lemma,vague,Thurston norm under splitting along incompressible surfaces,Norms on the cohomology of hyperbolic 3-manifolds,1,,1,,Norms on the cohomology of hyperbolic 3-manifolds,Minimal genus in circle bundles over 3-manifolds
1510.06292,lem:normsplitting,lemma,precise,"If an incompressible surface splits a closed irreducible three-manifold into A and B, the Thurston norm of any class dominates the sum on both sides.",Norms on the cohomology of hyperbolic 3-manifolds,1,4,1,4,Norms on the cohomology of hyperbolic 3-manifolds,Minimal genus in circle bundles over 3-manifolds
1603.05928,uniprop2,lemma,vague,canonical extension of superfunctors to Pi-envelope,Monoidal supercategories,1,1,1,1,Monoidal supercategories,Monoidal supercategories
1603.05928,pi,corollary,precise,"In Pi-supercategories, the parity data satisfy coherence identities, and each superfunctor carries a canonical even isomorphism beta_F compatible with natural transformations and composition.",Monoidal supercategories,1,1,1,1,Monoidal supercategories,Monoidal supercategories
1603.05928,shot,lemma,precise,The defined horizontal and vertical compositions in the 2-supercategory obey the usual super interchange law.,Monoidal supercategories,1,1,1,1,Monoidal supercategories,Monoidal supercategories
1603.05928,shot,lemma,vague,super interchange law in 2-supercategories,Monoidal supercategories,1,2,1,2,Monoidal supercategories,DG structures on odd categorified quantum $sl(2)$
1510.06292,thm:KM,theorem,vague,scalar curvature and Thurston norm,Norms on the cohomology of hyperbolic 3-manifolds,1,2,1,2,Norms on the cohomology of hyperbolic 3-manifolds,Scalar curvature and harmonic maps to $S^1$
1603.05928,th,theorem,vague,2-equivalence of a constructed 2-functor,Monoidal supercategories,9,2,9,2,Twisted derived categories and Rouquier functors,The Witt group of non-degenerate braided fusion categories
1604.07123,prop:b-canonical,proposition,precise,"If V_sigma(tau) expands in a cohomology basis with coefficients A, B, C, then theta_sigma^0 equals the corresponding combination of second derivatives and differentials of the potential Phi.",On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,1,1,1,1,On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,On the remodeling conjecture for toric Calabi-Yau 3-orbifolds
1604.07123,prop:b-canonical,proposition,vague,mirror symmetry formula for theta differentials,On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,,,,,On CM values of Borcherds products and harmonic weak Maass forms of weight one,"The proper Landau-Ginzburg potential, intrinsic mirror symmetry and the relative"
1604.07123,prop:untwisted-limit,proposition,precise,"For each relevant parameter index a, the differential q_a partial Phi partial q_a on the mirror curve has a limit as q goes to zero, given explicitly on each component.",On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,1,1,1,1,On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,On the remodeling conjecture for toric Calabi-Yau 3-orbifolds
1603.05928,uniprop2,lemma,precise,"Any graded 2-superfunctor into a Pi-2-supercategory extends canonically to the Pi-envelope, and any 2-natural transformation between such functors extends uniquely.",Monoidal supercategories,1,1,1,1,Monoidal supercategories,Monoidal supercategories
1604.07123,main,theorem,precise,"Under open and closed mirror maps, B-model n-point differentials equal sign-twisted A-model open Gromov-Witten potentials, proving the BKMP remodeling conjecture for toric Calabi-Yau 3-orbifolds.",On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,1,1,1,,On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,On the remodeling conjecture for toric Calabi-Yau 3-orbifolds
1604.07123,main,theorem,vague,BKMP remodeling conjecture for toric Calabi-Yau orbifolds,On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,,3,,,Refined Gromov-Witten invariants,Open-closed Gromov-Witten invariants of 3-dimensional Calabi-Yau smooth toric DM
1603.05928,pi,corollary,vague,coherence of parity functors in Pi-supercategories,Monoidal supercategories,2,2,2,7,Supersymmetric monoidal categories,Quiver Hecke superalgebras
1604.07123,lemm:C,lemma,vague,theta basis expansion of a bidifferential kernel,On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,,,,,Thomae formula for $2$ Abelian covers of $\mathbb{CP}^1$,Dimers and families of Cauchy-Riemann operators I
1604.07123,lemm:C,lemma,precise,"The bidifferential C(p1,p2) is one half the sum over sectors of products of the corresponding theta-zero forms at p1 and p2.",On the Remodeling Conjecture for Toric Calabi-Yau 3-Orbifolds,,,,,Topological recursion for generalised Kontsevich graphs and r-spin intersection ,Fay identities of Pfaffian type for hyperelliptic curves
1603.05928,th,theorem,precise,The constructed 2-functor E gives a genuine equivalence between the two 2-categories that it connects.,Monoidal supercategories,2,1,2,1,Twisted derived categories and Rouquier functors,Monoidal supercategories
1610.07055,cexWall,theorem,vague,many maximal subgroups in finite groups,Computation of Kazhdan-Lusztig polynomials and some applications to finite groups,,,,,On Finite groups whose power graphs are line graphs,Most primitive groups are full automorphism groups of edge-transitive hypergraph
1610.07055,cexWall,theorem,precise,There is a positive delta such that infinitely many finite groups have more than group size to the power one plus delta maximal subgroups.,Computation of Kazhdan-Lusztig polynomials and some applications to finite groups,1,,1,,Computation of Kazhdan-Lusztig polynomials and some applications to finite group,Generation and random generation: from simple groups to maximal subgroups
1610.07055,ComplClasses,lemma,precise,"For a semidirect product G equals M semidirect H, the cohomology set H^1(H,M) classifies conjugacy classes of complements to M in G.",Computation of Kazhdan-Lusztig polynomials and some applications to finite groups,1,2,1,2,Computation of Kazhdan-Lusztig polynomials and some applications to finite group,Enumeration of Finite Groups
1610.07055,GTbound,theorem,vague,bounds on first cohomology for Chevalley groups,Computation of Kazhdan-Lusztig polynomials and some applications to finite groups,1,,1,,Computation of Kazhdan-Lusztig polynomials and some applications to finite group,Generation of simple groups
1612.01625,,theorem,precise,"For each signature a,b with a+b=N, there is a meromorphic generalized function on symmetric matrices extending absolute determinant to the s power on that signature stratum, with poles exactly at half-integers at most minus one.",Crofton Formulas and Indefinite Signature,,1,,2,Free Fermion Six Vertex Model: Symmetric Functions and Random Domino Tilings,Crofton formulas and indefinite signature
1612.01625,,theorem,vague,meromorphic distributions on symmetric matrices by signature,Crofton Formulas and Indefinite Signature,1,2,1,,Crofton Formulas and Indefinite Signature,A Course in Real Algebraic Geometry
