"case","row_type","direction","rank","sid","similarity","formality","kind","paper_title","decl_name_or_ref","slogan","body_short"
"4","topk_candidate","f2i","5","02d7f1f6-a0e9-49c8-8038-295b37059686","0.7409","informal","definition","Dense generic well-rounded lattices","6","Gamma 8 is the set of all 8-dimensional vectors where each component is either an integer or a half-integer, and the sum of the components is an even integer. Gamma 8 prime is the union of two sets: …","Define \begin{align} \Gamma_8&:=\left\{\B{x}\in\Z^8\cup\left(\Z+\frac{1}{2}\right)^8:\sum_{i=1}^8 x_i\in2\Z\right\}\mathbf{x}\in\mathbb{Z}^8\cup\left(\mathbb{Z}+\frac{1}{2}\right)^8:\sum_{i=1}^8 x_i\in2\mathbb{Z}}, \\ \Gamma_8'&:=\left\{\B…"
"4","topk_candidate","i2f","1","4414de44-e069-48ef-934c-6ad930a4cc19","0.9013","formal","theorem","Sphere-Packing-Lean","E8Packing_lattice","The E8 lattice is a special arrangement of points in 8-dimensional space with integer or half-integer coordinates that meet specific symmetry and sum conditions, and this arrangement is the same as t…","E8Packing_lattice : E8Packing.lattice = E8Lattice"
"4","topk_candidate","i2f","2","43dc9fd7-2fcc-4ff0-b167-2e9dfaf5e152","0.8819","formal","definition","sphere-packing-math-inc","E8Lattice","The E8Lattice is a special set of points in 8-dimensional real space, where each point has integer coordinates or half-integer coordinates that satisfy certain symmetry and sum conditions, and this s…","E8Lattice : Submodule ℤ (EuclideanSpace ℝ (Fin 8))"
"4","topk_candidate","i2f","3","17bf2a90-8a9b-496c-ba9a-a8de2b7054d3","0.8663","formal","theorem","Sphere-Packing-Lean","Submodule.E8_eq_sup","The E8 lattice over a field R of characteristic zero is equal to the sum of the even integer lattice in 8 dimensions and the set of all integer multiples of the function that maps every coordinate to…","Submodule.E8_eq_sup.{u_2} (R : Type u_2) [Field R] [CharZero R] :   Submodule.E8 R = Submodule.evenLattice R 8 ⊔ ℤ ∙ fun x => 2⁻¹"
"4","topk_candidate","i2f","4","6f123c7c-fd5a-4698-8a3c-b3cef7697da4","0.8411","formal","theorem","Sphere-Packing-Lean","span_E8Matrix_eq_E8Lattice","The integer linear combinations of the rows of the E8 matrix, when mapped into 8-dimensional real space, form exactly the E8 lattice. This means every point in the E8 lattice can be written as a sum …","span_E8Matrix_eq_E8Lattice :   Submodule.span ℤ (Set.range fun i => (WithLp.linearEquiv 2 ℤ (Fin 8 → ℝ)).symm ((E8Matrix ℝ).row i)) = E8Lattice"
"4","topk_candidate","i2f","5","dd45894c-11f7-433c-a4cf-e4a6c0e3e89e","0.8388","formal","instance","sphere-packing-math-inc","instIsZLatticeE8Lattice","The E8Lattice is a discrete subgroup of 8-dimensional real space made up of points with integer or half-integer coordinates that meet specific symmetry and sum conditions, and it is closed under addi…","instIsZLatticeE8Lattice : IsZLattice ℝ E8Lattice"
"5","gold_informal","","","43668ce4-f6a6-4d67-bc56-153c19bb3de3","","informal","definition","Sphere Packing in Dimension 8","7.3","a(x) is defined as a complex-valued function on 8-dimensional real space, where the value depends on the squared length of x, and is computed by summing six specific complex integrals that involve a …","\uses{def:phi4-phi2-phi0} Define $a_{\mathrm{rad}} : \mathbb{R} \to \mathbb{C}$ by \begin{align} a_\mathrm{rad}(r) := I_1(r) + I_2(r) + I_3(r) + I_4(r) + I_5(r) + I_6(r) \end{align} where \begin{align} I_1(r) &:= \int_{-1}^{-1 + i} \phi_0 …"
"5","gold_formal","","","917fb9b4-6703-4995-9461-cdced8d793ba","","formal","definition","sphere-packing-math-inc","MagicFunction.a.RadialFunctions.a","MagicFunction.a.RadialFunctions.a is a function that takes a point in 8-dimensional real Euclidean space, represented as a vector indexed by the numbers 0 through 7, and returns a complex number. It …","MagicFunction.a.RadialFunctions.a : EuclideanSpace ℝ (Fin 8) → ℂ"
"5","topk_candidate","f2i","1","ab251f97-d8b5-40d0-9a8e-1ccae7a8f682","0.7382","informal","definition","Meshfree Approximation for Stochastic Optimal Control Problems","4.2","A radial function on d-dimensional real space depends only on the distance from the origin, not on the direction. It can be expressed as a function of the Euclidean norm of the input vector. Specific…","A function $\Psi(\mathbb{R}^d) \rightarrow \mathbb{R}$ is called radial if there exists a univariate function $\psi: \mathbb{R} \rightarrow \mathbb{R} $ such that \begin{equation} \Psi(x) = \psi(r), \ \ ||x|| =r \end{equation} where $||\cd…"
"5","topk_candidate","f2i","2","c21eeec5-df6d-4533-9767-4b6799316eff","0.7289","informal","definition","Numerical solution using radial basis functions for multidimensional   fraction…","3.1","A function from d-dimensional real space to the real numbers is called radial if its value at any point depends only on the distance of that point from the origin, using any vector norm, typically th…","Let $\Phi:\nset{R}^d \to \nset{R}$ be a function. Then, $\Phi$ is called radial, if there exists a function $\phi:\nset{R}_{\geq 0}\to \nset{R}$, such that \begin{eqnarray*} \Phi(x)=\phi(\norm{x}), \end{eqnarray*} where $\norm{ \ \cdot \ }…"
"5","topk_candidate","f2i","3","385fd177-d375-4ed3-9c6e-986625388ee0","0.7222","informal","definition","Dunkl completely monotonic functions","2","A function from d-dimensional real space to the real numbers is called radial if its value at any point depends only on the distance from that point to the origin. This means the function is constant…","A function $\Phi:\mathbb{R}^{d}\longrightarrow\mathbb{R}$ is said to be radial if there exists a function $\varphi:[0,\infty[\longrightarrow\mathbb{R}$ such that $\Phi(x)=\varphi\left(\parallel x\parallel\right)$ for all $x\in\mathbb{R}^{d…"
"5","topk_candidate","i2f","1","518b1b43-ef48-4ab6-99ec-d5dd142539fd","0.7636","formal","theorem","sphere-packing-math-inc","MagicFunction.a.RadialFunctions.a_eq","The value of the function a at any point in 8-dimensional real Euclidean space is equal to the sum of six other functions I1, I2, I3, I4, I5, and I6 evaluated at that same point, where each function …","MagicFunction.a.RadialFunctions.a_eq (x : EuclideanSpace ℝ (Fin 8)) :   MagicFunction.a.RadialFunctions.a x =     MagicFunction.a.RadialFunctions.I₁ x + MagicFunction.a.RadialFunctions.I₂ x + MagicFunction.a.RadialFunctions.I₃ x +         …"
"5","topk_candidate","i2f","2","a6373825-7eb3-43c0-ba44-621c4003a05c","0.7479","formal","definition","sphere-packing-math-inc","SpherePacking.Dim24.RealIntegrals.a'","The function a' takes a real number u and returns a complex number obtained by adding together six specific contour integral functions I₁' through I₆', each of which maps real inputs to complex outpu…","SpherePacking.Dim24.RealIntegrals.a' (u : ℝ) : ℂ"
"5","topk_candidate","i2f","3","23289848-0183-450d-b614-329d4593319e","0.7327","formal","definition","sphere-packing-math-inc","MagicFunction.a.RealIntegrals.a'","a_prime is a function that takes a real number and returns a complex number, defined as the sum of six other functions (I1_prime through I6_prime), each of which involves integrals of certain complex…","MagicFunction.a.RealIntegrals.a' : ℝ → ℂ"
"5","topk_candidate","i2f","4","d332ba4a-74fb-434a-852a-5245e1243f60","0.7259","formal","theorem","sphere-packing-math-inc","MagicFunction.FourierEigenfunctions.a_eq_sum_integrals_RadialFunctions","The function a, which is a smooth and rapidly decaying function on 8-dimensional real space and invariant under the Fourier transform, can be expressed as the sum of six specific integral terms deriv…","MagicFunction.FourierEigenfunctions.a_eq_sum_integrals_RadialFunctions :   ⇑MagicFunction.FourierEigenfunctions.a =     MagicFunction.a.RadialFunctions.I₁ + MagicFunction.a.RadialFunctions.I₂ + MagicFunction.a.RadialFunctions.I₃ +         …"
"5","topk_candidate","i2f","5","917fb9b4-6703-4995-9461-cdced8d793ba","0.7020","formal","definition","sphere-packing-math-inc","MagicFunction.a.RadialFunctions.a","MagicFunction.a.RadialFunctions.a is a function that takes a point in 8-dimensional real Euclidean space, represented as a vector indexed by the numbers 0 through 7, and returns a complex number. It …","MagicFunction.a.RadialFunctions.a : EuclideanSpace ℝ (Fin 8) → ℂ"
"6","gold_informal","","","a69dafc2-9108-4dd2-8a68-38a45ddb1af1","","informal","definition","The Polynomial Freiman-Ruzsa Conjecture","2.25","The conditional mutual information of X and Y given Z is the average, over all values z of Z, of the mutual information between X and Y when Z is fixed at z, weighted by the probability that Z equals…","\uses{information-def,condition-event-def} If $X,Y,Z$ are random variables, with $Z$ $U$-valued, then $$ \mathbb{I}[X:Y|Z] := \sum_{z \in U} P[Z=z] \mathbb{I}[(X|Z=z): (Y|Z=z)].$$"
"6","gold_formal","","","a8c5672a-c536-4cac-8f53-d80bc9dbde24","","formal","definition","pfr","ProbabilityTheory.condMutualInfo","The conditional mutual information I[X : Y | Z] measures how much knowing the value of X reduces uncertainty about Y, given that the value of Z is already known, by averaging the mutual information o…","ProbabilityTheory.condMutualInfo.{u_1, u_2, u_3, u_4} {Ω : Type u_1} {S : Type u_2} {T : Type u_3} {U : Type u_4}   [mΩ : MeasurableSpace Ω] [MeasurableSpace S] [MeasurableSpace U] [MeasurableSpace T] (X : Ω → S) (Y : Ω → T)   (Z : Ω → U) …"
"6","topk_candidate","f2i","1","39728b33-139d-4b6e-8a5f-1c0463b0185c","0.9398","informal","definition","Information Theoretic Analysis of PUF-Based Tamper Protection","","The conditional mutual information I(X;Y|Z) measures how much knowing Y reduces uncertainty about X when Z is known, averaged over all possible values of Z. It is calculated as a weighted sum or inte…","The mutual information $I(X;Y|Z=c)$ between two random variables $X$ and $Y$ conditioned on a discrete random variable $Z$ taking the value $c$ is defined by \begin{equation} I(X;Y|Z=c) \vcentcolon= H(X|Z=c) - H(X|Y,Z=c) \end{equation} if …"
"6","topk_candidate","f2i","2","788f2d14-42f5-45d7-b4cc-c70f47088c54","0.9349","informal","definition","On the Round Complexity of the Shuffle Model","6.10","The conditional mutual information of X and Y given Z is the average amount of information that X and Y share, after accounting for what is already known from Z. It measures how much knowing Y reduce…","Let $X,Y,Z$ be three random variables. The {\em conditional mutual information} of $X$ and $Y$ given $Z=z$ is $$ I(X;Y|Z=z) = H(X|Z=z) - H(X|Y,Z=z) $$ The {\em conditional mutual information} of $X$ and $Y$ given $Z$ is $$I(X;Y|Z)=\E_{Z}\B…"
"6","topk_candidate","f2i","3","afbb6294-2d1e-4a41-bb41-019a68fd0a0e","0.9127","informal","definition","Generalization in VAE and Diffusion Models: A Unified Information-Theoretic Ana…","9.6","Conditional mutual information measures the average amount of information that two random variables X and Y share, after accounting for the knowledge of a third random variable Z. It is calculated by…","Let $X$, $Y$ and $Z$ be arbitrary random variables, The disintegrated mutual information between $X$ and $Y$ given $Z$ is defined as: \begin{equation*} I^{Z}(X;Y)\stackrel{\text{def}}{=} \mathbb{D}_{\mathrm{KL}}(P_{X,Y|Z}||P_{X|Z}P_{Y|Z})\…"
"6","topk_candidate","f2i","4","6616d8df-d980-48d2-a715-6eba9260b373","0.9106","informal","definition","Quantitative Information Flow - Verification Hardness and Possibilities","2.3","The conditional mutual information of X and Y given Z measures how much knowing Y reduces uncertainty about X, after accounting for what is already known from Z, and it can also be viewed as the redu…","Let $X, Y$ and $Z$ be random variables and $\mu$ be an associated probability distribution.\footnote{We abbreviate sample spaces of random variables when they are clear from the context.} Then, the conditional mutual information of $X$ and…"
"6","topk_candidate","f2i","5","700b0204-23ba-4ad5-80bf-e0e3fef36cd2","0.9046","informal","definition","Competitive analysis of the top-K ranking problem","9.5","The conditional mutual information between X and Y given Z measures how much knowing Y reduces uncertainty about X when Z is already known, and it is calculated as the difference between the conditio…","The \emph{conditional mutual information} between $X$ and $Y$ given $Z$ is defined as $I(X;Y|Z) = H(X|Z) - H(X|YZ) = H(Y|Z) - H(Y|XZ)$."
"6","topk_candidate","i2f","1","e0e6926a-8f86-428c-a22c-c36f7ef456ce","0.9179","formal","theorem","pfr","ProbabilityTheory.condMutualInfo_eq_integral_mutualInfo","The conditional mutual information between two random variables X and Y given a third variable Z is equal to the average of the mutual information between X and Y over each possible value of Z, where…","ProbabilityTheory.condMutualInfo_eq_integral_mutualInfo.{u_1, u_2, u_3, u_4} {Ω : Type u_1} {S : Type u_2}   {T : Type u_3} {U : Type u_4} [mΩ : MeasurableSpace Ω] [MeasurableSpace S] [MeasurableSpace U] {X : Ω → S} {Y : Ω → T}   {Z : Ω → …"
"6","topk_candidate","i2f","2","1be43902-ba69-46ff-9593-7a7157a4542c","0.9035","formal","theorem","pfr","ProbabilityTheory.condMutualInfo_def","The conditional mutual information between two random variables X and Y given a third variable Z is defined as the average over all values z of Z of the sum of the entropies of X and Y given Z=z, min…","ProbabilityTheory.condMutualInfo_def.{u_1, u_2, u_3, u_4} {Ω : Type u_1} {S : Type u_2} {T : Type u_3} {U : Type u_4}   [mΩ : MeasurableSpace Ω] [MeasurableSpace S] [MeasurableSpace U] [MeasurableSpace T] (X : Ω → S) (Y : Ω → T)   (Z : Ω →…"
"6","topk_candidate","i2f","3","a8c5672a-c536-4cac-8f53-d80bc9dbde24","0.8810","formal","definition","pfr","ProbabilityTheory.condMutualInfo","The conditional mutual information I[X : Y | Z] measures how much knowing the value of X reduces uncertainty about Y, given that the value of Z is already known, by averaging the mutual information o…","ProbabilityTheory.condMutualInfo.{u_1, u_2, u_3, u_4} {Ω : Type u_1} {S : Type u_2} {T : Type u_3} {U : Type u_4}   [mΩ : MeasurableSpace Ω] [MeasurableSpace S] [MeasurableSpace U] [MeasurableSpace T] (X : Ω → S) (Y : Ω → T)   (Z : Ω → U) …"
"6","topk_candidate","i2f","4","dcaf7854-9b12-4ac3-8ec4-f0a2c6050f09","0.8591","formal","theorem","pfr","ProbabilityTheory.condMutualInfo_eq","The conditional mutual information between two random variables X and Y given a third variable Z is equal to the sum of the conditional entropies of X given Z and Y given Z, minus the conditional ent…","ProbabilityTheory.condMutualInfo_eq.{u_1, u_2, u_3, u_4} {Ω : Type u_1} {S : Type u_2} {T : Type u_3} {U : Type u_4}   [mΩ : MeasurableSpace Ω] [MeasurableSpace S] [MeasurableSpace U] {X : Ω → S} {Y : Ω → T} {Z : Ω → U}   [MeasurableSpace …"
"6","topk_candidate","i2f","5","9bf4b002-c8e1-41de-a68c-2c5b8e9633ea","0.8491","formal","definition","pfr","ProbabilityTheory.«termI[_:_|_;_]»","The conditional mutual information I[X : Y | Z] measures the amount of information shared between X and Y given knowledge of Z, calculated by averaging the mutual information of X and Y over all poss…","ProbabilityTheory.«termI[_:_|_;_]» : Lean.ParserDescr"
"7","gold_informal","","","17c62d65-5106-43e9-9f9e-70e200417252","","informal","lemma","Fermat's Last Theorem","10.9","The degree of the composition of two functions phi and psi equals the product of their individual degrees.","$d_A(\phi\circ\psi)=d_A(\phi)d_A(\psi).$"
"7","gold_formal","","","f4ea7e0b-5b15-4d4f-82f6-7e8d113ae604","","formal","thm","Mathlib_v427","MeasureTheory.addEquivAddHaarChar_trans","The pushforward of an additive Haar measure under a continuous additive equivalence between topological groups results in another additive Haar measure, scaled by a non-negative real factor determine…",""
"7","topk_candidate","i2f","1","ee07a857-b29b-475d-ac05-4ed523f42c2f","0.6201","formal","definition","misc-yd","Finset.F3.combiDegen","Finset.F3.combiDegen defines a combinatorial relationship or degeneracy between two specific lists of functions, φ and ψ, where each function maps from a 3-element set (Fin 3) to a 9-element set (Fin…","Finset.F3.combiDegen : Finset.CombiDegen Finset.F3.φ Finset.F3.ψ"
"7","topk_candidate","i2f","2","21cfcb3c-58b9-4d01-8c70-d3edcb445beb","0.6194","formal","theorem","sphere-packing-math-inc","SpherePacking.Dim24.VarphiNegGeOne.varphi_num_eq_varphi_mul_Delta_sq","The function varphi_num at a point z in the upper half-plane equals the product of the function varphi at z and the square of the function Delta at z. This identity comes from the definition of varph…","SpherePacking.Dim24.VarphiNegGeOne.varphi_num_eq_varphi_mul_Delta_sq (z : UpperHalfPlane) :   SpherePacking.Dim24.VarphiNegGeOne.varphi_num z = SpherePacking.Dim24.varphi z * Δ z ^ 2"
"7","topk_candidate","i2f","3","1dab745c-18ae-4866-b23b-bb8f2673b1c1","0.6059","formal","theorem","ClassFieldTheory","Polynomial.Monic.degree_mul'","If p is a monic polynomial over a semiring R, then the degree of the product p * q equals the sum of the degrees of p and q. This means multiplying a monic polynomial by another polynomial adds their…","Polynomial.Monic.degree_mul'.{u_1} {R : Type u_1} [Semiring R] {p q : Polynomial R} (hp : p.Monic) :   (p * q).degree = p.degree + q.degree"
"7","topk_candidate","i2f","4","01e7cb0b-28ef-432d-af9c-35de712d14db","0.5932","formal","theorem","physlib","QuantumMechanics.radiusRegPowOperator_comp_eq","The composition of two regularized radius operators raised to powers s and t is equal to the regularized radius operator raised to the power s + t, for any nonzero regularization parameter ε. This me…","QuantumMechanics.radiusRegPowOperator_comp_eq {d : ℕ} (ε : ℝˣ) (s t : ℝ) : 𝐫[ε,s].comp 𝐫[ε,t] = 𝐫[ε,s + t]"
"7","topk_candidate","i2f","5","6ad6c9e5-b540-4c19-a864-ca062e674503","0.5927","formal","theorem","cslib","Cslib.ωLanguage.map_map","Applying a function g after applying a function f to every sequence in an omega language is the same as applying the composition of g and f directly to the language.","Cslib.ωLanguage.map_map.{u_1, u_2, u_3} {α : Type u_1} {β : Type u_2} {γ : Type u_3} (g : β → γ) (f : α → β)   (p : Cslib.ωLanguage α) : Cslib.ωLanguage.map g (Cslib.ωLanguage.map f p) = Cslib.ωLanguage.map (g ∘ f) p"
"8","gold_informal","","","612fbd83-6f12-4a87-b4c3-32295718f133","","informal","lemma","Class Field Theory","24","For a subgroup S of a group G, the cohomology of G with coefficients in the coinduced module from S is isomorphic to the cohomology of S, and the homology of G with coefficients in the induced module…","Let $S$ be a subgroup of $G$. Then there are isomorphisms for all $n \ge 0$: \[ H^n(G,\mathrm{coind}_S(M)) \cong H^n(S,M), \qquad H_n(G,\mathrm{ind}_S(M)) \cong H_n(S,M), \qquad \] More precisely these are isomorphisms of functors."
"8","gold_formal","","","120d77d8-673e-4da2-8f80-23b1ed1ff59a","","formal","def","Mathlib_v427","groupCohomology.coindIso","The coinduction of a group representation is isomorphic to the restriction of the original representation along a subgroup, meaning that coinduced representations can be transformed into restricted o…",""
"8","topk_candidate","f2i","1","b6beedbc-1da6-4ca5-a2af-0e4ae13809d8","0.8333","informal","remark","Unbounded Algebraic Derivators","","This result compares the homology and cohomology of induced and coinduced representations with those of the original representation, showing they are naturally isomorphic when passing from a subgroup…","Compare with \cite[\S 6.3]{W}."
"8","topk_candidate","f2i","2","d1516335-9a8e-4409-b35d-198a83d4049d","0.8113","informal","lemma","Symmetry groups of four-manifolds","5.2","When H is a subgroup of G and M is a module over H, the composition of restriction and projection maps induces an isomorphism between the cohomology of G with coefficients in the coinduced module and…","If $H\subseteq G$ and $M$ is an $H$-module, then the composition $$H^*(G; \operatorname{Coind}_H^GM)\stackrel{r^*}{\rightarrow} H^*(H; \operatorname{Coind}_H^GM)\stackrel{\pi_*}{\rightarrow} H^*(H; M)$$ is an isomorphism, where $r:H\hookri…"
"8","topk_candidate","f2i","3","34f842f7-f12c-4c39-9101-bd842ebbac41","0.7996","informal","proposition","Permutation modules and cohomological singularity","0","There are natural isomorphisms relating the group cohomology and cohomological singularity invariants of a subgroup to those of the whole group, when using induction functors between their module cat…","Let $H\le G$ be a subgroup. There are canonical isomorphisms \[ (-)^{\rmh G}\circ\Ind^G_H\cong(-)^{\rmh H} \qquadtext{and} \CInvGR\circ\Ind^G_H\cong\CInvHR. \]"
"8","topk_candidate","f2i","4","612fbd83-6f12-4a87-b4c3-32295718f133","0.7833","informal","lemma","Class Field Theory","24","For a subgroup S of a group G, the cohomology of G with coefficients in the coinduced module from S is isomorphic to the cohomology of S, and the homology of G with coefficients in the induced module…","Let $S$ be a subgroup of $G$. Then there are isomorphisms for all $n \ge 0$: \[ H^n(G,\mathrm{coind}_S(M)) \cong H^n(S,M), \qquad H_n(G,\mathrm{ind}_S(M)) \cong H_n(S,M), \qquad \] More precisely these are isomorphisms of functors."
"8","topk_candidate","f2i","5","cb07215e-34fd-4206-95aa-3af2f92a0edf","0.7810","informal","lemma","On non-abelian Lubin-Tate theory for GL(2) in the odd equal   characteristic ca…","6.7","There is an isomorphism between two cohomology groups as representations of a group, where one side is compactly supported cohomology of a space and the other is an induced representation from a subg…","We have an isomorphism \[ H_{\rm c}^1(\overline{{\bf X}}_{n,\zeta},\overline{\mathbb{Q}}_{\ell}) \simeq \Ind_{\mathcal{H}_{n,\zeta}}^{\mathcal{G}_{n,\zeta}} H_{\rm c}^1 (\overline{{\bf X}}_{n,n,\zeta,\varpi_n},\overline{\mathbb{Q}}_{\ell})…"
"8","topk_candidate","i2f","1","5ed7c3d9-d47a-43e3-84f4-bfede2a378c7","0.8113","formal","theorem","ClassFieldTheory","Rep.dimensionShift.isIso_δ_up_res","If S is a subgroup of G and M is a G-module, then the connecting homomorphism from the (n+1)th cohomology of S with coefficients in the restricted induced module to the (n+2)th cohomology of S with c…","Rep.dimensionShift.isIso_δ_up_res.{u} {R G : Type u} [CommRing R] [Group G] (M : Rep.{u, u, u} R G) {S : Type u}   [Group S] {φ : S →* G} (inj : Function.Injective ⇑φ) (n : ℕ) [NeZero n] :   CategoryTheory.IsIso (groupCohomology.δ ⋯ n (n +…"
"8","topk_candidate","i2f","2","dfceef67-270e-4fc4-a208-d038eb62311d","0.7733","formal","definition","ClassFieldTheory","Rep.resCoind₁AsPiIso","For a subgroup H of a group G and a module A over a commutative ring R, the restriction of the coinduced representation of G on the space of functions from G to A to H is isomorphic to the coinduced …","Rep.resCoind₁AsPiIso.{u} {R G : Type u} [CommRing R] [Group G] {A : ModuleCat R} (H : Subgroup G) :   Rep.coind₁AsPi G A ↓ H.subtype ≅ Rep.coind₁AsPi (↥H) (ModuleCat.of R (G ⧸ H → ↑A))"
"8","topk_candidate","i2f","3","a5807e84-62d0-4ef0-9a03-15d1455cea78","0.7633","formal","definition","ClassFieldTheory","groupHomology.mapIso","If two groups G and H are isomorphic and their respective modules M and N over a commutative ring R are linearly isomorphic in a way that respects the group actions, then the group homology of G with…","groupHomology.mapIso.{u} {R G H : Type u} [CommRing R] [Group G] [Group H] {M : Rep.{u, u, u} R G}   {N : Rep.{u, u, u} R H} (e : G ≃* H) (e' : ↑M ≃ₗ[R] ↑N) (he : ∀ (g : G), ↑e' ∘ₗ M.ρ g = N.ρ (e g) ∘ₗ ↑e') (n : ℕ) :   groupHomology M n ≅ …"
"8","topk_candidate","i2f","4","4d7e2939-67b0-4188-b48a-084336cefa56","0.7623","formal","theorem","ClassFieldTheory","Rep.dimensionShift.epi_δ_up_zero_res","If S is a subgroup of G, then the connecting map from the 0th cohomology of S with coefficients in the restricted induced module to the 1st cohomology of S with coefficients in the restricted module …","Rep.dimensionShift.epi_δ_up_zero_res.{u} {R G : Type u} [CommRing R] [Group G] (M : Rep.{u, u, u} R G) {S : Type u}   [Group S] {φ : S →* G} (inj : Function.Injective ⇑φ) : CategoryTheory.Epi (groupCohomology.δ ⋯ 0 1 ⋯)"
"8","topk_candidate","i2f","5","6937620a-f940-4a23-9133-15046d17ef45","0.7586","formal","definition","ClassFieldTheory","groupCohomology.mapIso","If there is a group isomorphism between G and H and a compatible isomorphism between their representations M and N over a ring R, then the group cohomology of M in degree n is isomorphic to the group…","groupCohomology.mapIso.{u} {R G H : Type u} [CommRing R] [Group G] [Group H] {M : Rep.{u, u, u} R G}   {N : Rep.{u, u, u} R H} (e : G ≃* H) (e' : ↑M ≃ₗ[R] ↑N) (he : ∀ (g : G), ↑e' ∘ₗ M.ρ g = N.ρ (e g) ∘ₗ ↑e') (n : ℕ) :   groupCohomology M …"
"9","gold_informal","","","264cb24a-d27d-43e5-92ac-60f849254d68","","informal","lemma","Carleson operators on doubling metric measure spaces","11.3.5","For a given r between 0 and 1, there exists a continuous periodic function L' such that the operator L_Nf can be expressed as an integral involving L', and the difference between L' and a certain ind…","\uses{Dirichlet-kernel,lower-secant-bound} Let $0<r<1$. Let $N$ be the smallest integer larger than $\frac 1r$. There is a $2\pi$-periodic continuous function ${L'}$ on ${\mathbb{R}}$ that satisfies for all $0\le x\le 2\pi$ and all $2\pi$-…"
"9","gold_formal","","","2057e376-5f7d-437e-8389-2a69265abc11","","formal","theorem","carleson","dist_dirichletApprox_le","The difference between the Dirichlet approximation kernel and a truncated version of the Hilbert kernel on the interval [-pi, pi] is bounded by 12 times a well-behaved kernel function called niceKern…","dist_dirichletApprox_le {r : ℝ} (hr : r ∈ Set.Ioo 0 1) {n : ℕ} (hn : n = ⌈r⁻¹⌉₊) {x : ℝ}   (hx : x ∈ Set.Icc (-Real.pi) Real.pi) :   dist (dirichletApprox n x) ({y | |y| ∈ Set.Ico r 1}.indicator k x) ≤ 12 * niceKernel r x"
"9","topk_candidate","f2i","1","7d69aaed-0f3f-4b4e-aa40-0491a910d760","0.7426","informal","lemma","Carleson operators on doubling metric measure spaces","11.6.1","For any integer N and real number x between -pi and pi, excluding 0, the difference between the Dirichlet kernel K_N(x) and twice the real part of e^(-iNx) times kappa(x) is at most pi in absolute va…","\uses{Dirichlet-kernel,lower-secant-bound} For all $N\in{\mathbb{Z}}$ and $x\in [-\pi,\pi] \setminus \{0\}$, \begin{equation*} \left|K_N(x) - (e^{-iNx}\kappa(x) + \overline{e^{-iNx}\kappa(x)})\right| \le \pi \,. \end{equation*}"
"9","topk_candidate","f2i","2","236367d2-1012-4c5e-9dd8-eff6727400f8","0.7341","informal","lemma","The Fourier estimator of spot volatility: Unbounded coefficients and jumps in t…","26","For a given partition of the interval from -pi to pi, the integral of the r-th power of the absolute value of a modified Dirichlet kernel over time is bounded above by a constant multiple of the part…","\thlabel{labLemma:DirichletkernelEstimationdiscretized} Take a partition $\nu=\{-\pi=s_0<s_1<\ldots<s_l = \pi\}$ of the interval $[-\pi,\pi]$ and let $\rho$ be its norm: $\rho=\max_{i=0,\ldots,l-1}{|s_{i+1} - s_{i}|}$. Define $\cutabs{t}:=…"
"9","topk_candidate","f2i","3","68d7e53a-91be-454d-8a00-d005df9ea401","0.7253","informal","lemma","The Fourier estimator of spot volatility: Unbounded coefficients and jumps in t…","25","For r greater than 1, the integral of the r-th power of the absolute value of the Dirichlet kernel D_N over the interval from -pi to pi is bounded both above and below by constant multiples of (2N+1)…","\thlabel{labLemma:DirichletkernelEstimation} Take $r>1$. For the Dirichlet kernel $D_N$ there exists positive constants $b_r$ and $B_r$ such that for every $N \in \mathbb{N}$, the following inequality holds true: \[ b^r_r(2N+1)^{r-1} \leq …"
"9","topk_candidate","f2i","4","9836f0a3-05c8-4a77-9237-e312926449b7","0.7183","informal","lemma","Weighted estimates for the Calder\'on commutator","2.6","The difference between a singular integral kernel involving a function A and its truncated version is bounded by a term involving a smooth cutoff function phi, the distance between points, and a poly…","Let $\phi\in C^{\infty}(\mathbb{R})$ be even, $0\leq \phi\leq 1$, $\phi(0)=0$ and ${\rm supp}\,\phi\subset [-1,\,1]$. Set $\Phi(t)=\phi'(t)$, $\Phi_t(y)=t^{-1}\Phi(x/t)$ and $k_t(x,\,y)=\Phi_t(x-y)\chi_{(x,\infty)}(y).$ For $j=1,\,\dots,m$…"
"9","topk_candidate","f2i","5","3ab18f3c-66c1-4c6c-b682-b0dc0ab8b32a","0.7162","informal","lemma","Bochner-Riesz means for critical magnetic Schr\""odinger operators in   ${\mathb…","5.2","The absolute value of the kernel term is bounded by a constant times 2 to the power of minus j times (3/2 plus delta), divided by the square root of (1 plus 2 to the j times r1 times r2); a modified …","Let $\tilde{K}_{D,e}^{3,j}$ be given in \eqref{KDe3} and define \begin{equation} H(r_1,r_2;\theta_1-\theta_2)=2^{-j(\frac32+\delta)}\beta(r_1+r_2) \int_0^\infty e^{i 2^j\frac{r_1r_2}{r_1+r_2} s^2} \psi_{3, m}( s)\;ds, \end{equation} then \…"
